MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_Diet	ATTRIBUTE_Antibiotics	ATTRIBUTE_ImmuneResponse	ATTRIBUTE_Detail
MSV000080918	Blank_injection_RC12_01_7778.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7304.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7312.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7319.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7321.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7333.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7346.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7354.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7360.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7373.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7383.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7387.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7400.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7402.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7412.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7415.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7430.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7443.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7456.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7469.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7477.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7479.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
