MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	Depth_Meters	DepthorAltitudeMeters	ENVOBroadScale	ENVOLocalScale	ENVOMediumScale	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	Unnamed: 36	rowid	id	SampleCollectionMethod_provided
MSV000081679	Zostera_171106_mzXML_CTW/ASE_EXTR_BLANK_1_1uL_neg_DDA.mzML	blank_extraction			2017				Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)																											1	0	
MSV000081679	Zostera_171106_mzXML_CTW/ASE_EXTR_BLANK_1_1uL_pos_DDA.mzML	blank_extraction			2017				Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)																											2	1	
MSV000081679	Zostera_171106_mzXML_CTW/C18_bulk_1uL_neg_DDA.mzML	plant		29655|Zostera marina	2017	surface, solid-phase adsorption (C18)			Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									Sep-17	Germany		54.393917|10.189833	1	1	Marine biome		Organic material										3	2	solid material, fresh
MSV000081679	Zostera_171106_mzXML_CTW/C18_bulk_1uL_pos_DDA.mzML	plant		29655|Zostera marina	2017	surface, solid-phase adsorption (C18)			Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)									Sep-17	Germany		54.393917|10.189833	1	1	Marine biome		Organic material										4	3	solid material, fresh
MSV000081679	Zostera_171106_mzXML_CTW/S_bulk_1uL_neg_DDA.mzML	plant		29655|Zostera marina	2017	surface, solvent dipping			Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									Sep-17	Germany		54.393917|10.189833	1	1	Marine biome		Organic material										5	4	solid material, fresh
MSV000081679	Zostera_171106_mzXML_CTW/S_bulk_1uL_pos_DDA.mzML	plant		29655|Zostera marina	2017	surface, solvent dipping			Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)									Sep-17	Germany		54.393917|10.189833	1	1	Marine biome		Organic material										6	5	solid material, fresh
MSV000081679	Zostera_171106_mzXML_CTW/W-S_bulk_1uL_neg_DDA.mzML	plant		29655|Zostera marina	2017	surface-removed (internal), after dipping			Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									Sep-17	Germany		54.393917|10.189833	1	1	Marine biome		Organic material										7	6	solid material, dried
MSV000081679	Zostera_171106_mzXML_CTW/W-S_bulk_1uL_pos_DDA.mzML	plant		29655|Zostera marina	2017	surface-removed (internal), after dipping			Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)									Sep-17	Germany		54.393917|10.189833	1	1	Marine biome		Organic material										8	7	solid material, dried
MSV000081679	Zostera_171106_mzXML_CTW/W_bulk_1uL_neg_DDA.mzML	plant		29655|Zostera marina	2017	whole organism			Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									Sep-17	Germany		54.393917|10.189833	1	1	Marine biome		Organic material										9	8	solid material, dried
MSV000081679	Zostera_171106_mzXML_CTW/W_bulk_1uL_pos_DDA.mzML	plant		29655|Zostera marina	2017	whole organism			Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)									Sep-17	Germany		54.393917|10.189833	1	1	Marine biome		Organic material										10	9	solid material, dried
