MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_timepoint	ATTRIBUTE_social_defeat	ATTRIBUTE_experimental_day	ATTRIBUTE_diet	ATTRIBUTE_circadian_disruption
MSV000082582	1_2_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	10_Control_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Control	NLD
MSV000082582	10_Control_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Control	NLD
MSV000082582	10_Control_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Control	NLD
MSV000082582	100_101_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	100_Prebiotic_CDR_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	CDR
MSV000082582	100_Prebiotic_CDR_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	CDR
MSV000082582	100_Prebiotic_CDR_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	CDR
MSV000082582	101_Prebiotic_CDR_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	CDR
MSV000082582	101_Prebiotic_CDR_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	CDR
