MassiveID	filename	SampleType	NCBITaxonomy	UBERONBodyPartName	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SampleExtractionMethod
MSV000082852	160528_FHS_Eicosanoid_Plate_13_03.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_07.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_09.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_11.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_12.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_14.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_16.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_20.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_21.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_23.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_27.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_29.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_31.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
MSV000082852	160528_FHS_Eicosanoid_Plate_13_33.mzML	animal	9606|Homo sapiens	blood plasma	Q Exactive|MS:1001911	electrospray ionization (negative)	reverse phase (C18)	ethanol (100%)
