ATTRIBUTE_MassiveID	USI	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/solvent_pos.mzML	solvent_pos.mzML	blank_analysis	blank_analysis	""	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					""														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/solvent_neg.mzML	solvent_neg.mzML	blank_analysis	blank_analysis	""	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					""														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/extraction_blank_pos.mzML	extraction_blank_pos.mzML	blank_analysis	blank_analysis	""	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					""														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/extraction_blank_neg.mzML	extraction_blank_neg.mzML	blank_analysis	blank_analysis	""	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					""														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/18503_POS.mzML	18503_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/18503_NEG.mzML	18503_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/18502_POS.mzML	18502_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/18502_NEG.mzML	18502_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/16500_POS.mzML	16500_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/16500_NEG.mzML	16500_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/16489_POS.mzML	16489_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/16489_NEG.mzML	16489_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/16487_POS.mzML	16487_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/16487_NEG.mzML	16487_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/15809_POS.mzML	15809_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/15809_NEG.mzML	15809_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/13232_POS.mzML	13232_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/13232_NEG.mzML	13232_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/13230_POS.mzML	13230_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/13230_NEG.mzML	13230_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/13227_POS.mzML	13227_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/13227_NEG.mzML	13227_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/12867_POS.mzML	12867_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/12867_NEG.mzML	12867_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/12850_POS.mzML	12850_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/12850_NEG.mzML	12850_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/12849_POS.mzML	12849_POS.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (positive)					Dentary tooth														
MSV000083264	mzspec:MSV000083264:ccms_peak/mzXML/12849_NEG.mzML	12849_NEG.mzML	animal	""	63221|Homo sapiens neanderthalensis	2018				Q Exactive|MS:1001911	electrospray ionization (negative)					Dentary tooth														
