MassiveID	filename	qiita_sample_name	NCBITaxonomy	LatitudeandLongitude	SampleCollectionDateandTime	DepthorAltitudeMeters	ENVOEnvironmentBiome	UBERONBodyPartName	ENVOEnvironmentMaterial	BiologicalSex	SubjectIdentifierAsRecorded	SampleType	emp500_shotgun_assembly_sample_name	cur_land_use	cur_vegetation	depth_sample	description	diet_category_12	diet_category_3	dominant_cover_2m	captive_wild	emp500_study_id	emp500_title	empo_2	empo_3	empo_4	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	env_feature	env_material	env_package	environmental_package	host_body_product	host_body_site	host_class	host_common_name	host_common_name_provided	host_diet	host_disease_stat	host_family	host_family_relationship	host_flight	host_head_width_mm	host_height	host_last_meal	host_length_mm	host_life_stage	lcms_batch	lcms_extraction_protocol	lcms_position	lcms_replicate
MSV000083475	8c10_myrold59-soil-2-nrcs0056.mzML	13114.myrold.59.s002	not applicable|Not applicable	44.62691|-123.21072	4/10/2015 0:00:00	70	cropland biome	not applicable	agricultural soil	not applicable	nrcs0056	environmental	soil_oregon_trees	cropland	not applicable	0.15	soil sample 8.Myrold59.soil.2.NRCS0056	not applicable	not applicable	not applicable	not applicable	59	oregon soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	cropland	soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8c10	no
MSV000083475	8d7_myrold59-soil-3-nrcs0061.mzML	13114.myrold.59.s003	not applicable|Not applicable	44.62484|-123.21777	4/10/2015 0:00:00	69	cropland biome	not applicable	agricultural soil	not applicable	nrcs0061	environmental	soil_oregon_trees	cropland	not applicable	0.15	soil sample 9.Myrold59.soil.3.NRCS0061	not applicable	not applicable	not applicable	not applicable	59	oregon soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	cropland	soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8d7	no
MSV000083475	8d8_myrold59-soil-4-nrcs0066.mzML	13114.myrold.59.s004	not applicable|Not applicable	44.63881|-123.18977	4/10/2015 0:00:00	72	cropland biome	not applicable	agricultural soil	not applicable	nrcs0066	environmental	soil_oregon_trees	cropland	not applicable	0.15	soil sample 9.Myrold59.soil.4.NRCS0066	not applicable	not applicable	not applicable	not applicable	59	oregon soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	cropland	soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8d8	no
MSV000083475	8d4_myrold59-soil-9-nrcs0181.mzML	13114.myrold.59.s009	not applicable|Not applicable	45.16543|-120.6592	4/16/2015 0:00:00	790	cropland biome	not applicable	agricultural soil	not applicable	nrcs0181	environmental	soil_oregon_trees	cropland	not applicable	0.15	soil sample 8.Myrold59.soil.9.NRCS0181	not applicable	not applicable	not applicable	not applicable	59	oregon soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	cropland	soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8d4	no
MSV000083475	8c11_myrold59-soil-11-nrcs0221.mzML	13114.myrold.59.s011	not applicable|Not applicable	45.47756|-123.84166	4/21/2015 0:00:00	6	cropland biome	not applicable	agricultural soil	not applicable	nrcs0221	environmental	soil_oregon_trees	cropland	not applicable	0.15	soil sample 8.Myrold59.soil.11.NRCS0221	not applicable	not applicable	not applicable	not applicable	59	oregon soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	cropland	soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8c11	no
MSV000083475	8d6_myrold59-soil-12-nrcs0261.mzML	13114.myrold.59.s012	not applicable|Not applicable	45.65347|-119.46691	4/28/2015 0:00:00	321	cropland biome	not applicable	agricultural soil	not applicable	nrcs0261	environmental	soil_oregon_trees	cropland	not applicable	0.15	soil sample 9.Myrold59.soil.12.NRCS0261	not applicable	not applicable	not applicable	not applicable	59	oregon soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	cropland	soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8d6	no
MSV000083475	8c12_myrold59-soil-18-nrcs0426.mzML	13114.myrold.59.s018	not applicable|Not applicable	42.26074|-118.60881	5/13/2015 0:00:00	1242	cropland biome	not applicable	agricultural soil	not applicable	nrcs0426	environmental	soil_oregon_trees	cropland	not applicable	0.15	soil sample 8.Myrold59.soil.18.NRCS0426	not applicable	not applicable	not applicable	not applicable	59	oregon soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	cropland	soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8c12	no
MSV000083475	8h4_seedorf71-bp1soil-24.mzML	13114.seedorf.71.s001	not applicable|Not applicable	1.435380168|103.7113817	2/26/2016 14:26:00	19	cropland biome	not applicable	agricultural soil	not applicable	banana tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted Musa acuminata in research plantation	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	banana plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8h4	no
MSV000083475	8g7_seedorf71-bp2soil-26.mzML	13114.seedorf.71.s002	not applicable|Not applicable	1.435343635|103.7115584	2/26/2016 14:28:00	19	cropland biome	not applicable	agricultural soil	not applicable	banana tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted Musa acuminata in research plantation	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	banana plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g7	no
MSV000083475	8h1_seedorf71-bp3soil-28.mzML	13114.seedorf.71.s003	not applicable|Not applicable	1.435314|103.711674	2/26/2016 14:31:00	19	cropland biome	not applicable	agricultural soil	not applicable	banana tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted Musa acuminata in research plantation	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	banana plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8h1	no
