MassiveID,filename,SampleType,ENVOEnvironmentMaterial,UBERONBodyPartName,NCBITaxonomy,LatitudeandLongitude,SampleCollectionDateandTime,DepthorAltitudeMeters,SampleTypeSub1,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,Country,HumanPopulationDensity,qiita_sample_name
MSV000083772,XA_DOM_76.mzXML,environmental,sea water,not applicable,not applicable,-33.6258|25.7313,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_77.mzXML,environmental,sea water,not applicable,not applicable,-33.6258|25.7313,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_74.mzXML,environmental,sea water,not applicable,not applicable,-33.6363|25.7382,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_75.mzXML,environmental,sea water,not applicable,not applicable,-33.6363|25.7382,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_72.mzXML,environmental,sea water,not applicable,not applicable,-33.658|25.7397,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_73.mzXML,environmental,sea water,not applicable,not applicable,-33.658|25.7397,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_70.mzXML,environmental,sea water,not applicable,not applicable,-33.6805|25.7695,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_71.mzXML,environmental,sea water,not applicable,not applicable,-33.6805|25.7695,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_64.mzXML,environmental,sea water,not applicable,not applicable,-33.6916|25.8318,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083772,XA_DOM_65.mzXML,environmental,sea water,not applicable,not applicable,-33.6916|25.8318,10/25/2018,na,dissolvedorganicmatter_water_saline,2018,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
