MassiveID,filename,SampleType,ENVOEnvironmentMaterial,UBERONBodyPartName,NCBITaxonomy,LatitudeandLongitude,SampleCollectionDateandTime,DepthorAltitudeMeters,SampleTypeSub1,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,Country,HumanPopulationDensity,qiita_sample_name
MSV000083889,2019_2_06_TJ_DOM_1.mzXML,environmental,sea water,not applicable,not applicable,32.55242|-117.12655,2/6/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_06_TJ_DOM_2.mzXML,environmental,sea water,not applicable,not applicable,32.55242|-117.12655,2/6/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_08_TJ_DOM_1.mzXML,environmental,sea water,not applicable,not applicable,32.55242|-117.12655,2/8/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_08_TJ_DOM_2.mzXML,environmental,sea water,not applicable,not applicable,32.55242|-117.12655,2/8/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_06_Holl_DOM_1.mzXML,environmental,sea water,not applicable,not applicable,32.5545|-117.08427,2/6/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_06_Holl_DOM_2.mzXML,environmental,sea water,not applicable,not applicable,32.5545|-117.08427,2/6/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_07_Holl_DOM_1.mzXML,environmental,sea water,not applicable,not applicable,32.5545|-117.08427,2/7/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_07_Holl_DOM_2.mzXML,environmental,sea water,not applicable,not applicable,32.5545|-117.08427,2/7/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_08_Holl_DOM_1.mzXML,environmental,sea water,not applicable,not applicable,32.5545|-117.08427,2/8/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
MSV000083889,2019_2_08_Holl_DOM_2.mzXML,environmental,sea water,not applicable,not applicable,32.5545|-117.08427,2/8/2019,0,dissolvedorganicmatter_water_saline,2019,"liquid, solid phase extraction (PPL)","",not applicable,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,United States of America,not applicable,not applicable
