MassiveID	filename	SampleType	YearOfAnalysis	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	Country	LatitudeandLongitude	ENVOEnvironmentMaterial	ATTRIBUTE_Zip
MSV000084355	P35_A1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.2371|-97.4079	soil	73071.0
MSV000084355	P35_A10_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_A11_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_A12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_A2_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.51389|-96.9064	soil	74855.0
MSV000084355	P35_A3_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_A4_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_A5_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_A6_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_A7_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.2371|-97.4079	soil	73071.0
MSV000084355	P35_A7_no_no_no_unknown_190919183719.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.2371|-97.4079	soil	73071.0
MSV000084355	P35_A8_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_A9_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_B1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_B10_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_B11_no_yes_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.37128|-97.753	soil	73064.0
MSV000084355	P35_B12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_B12_no_no_no_unknown_190919191710.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_B2_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_B3_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_B4_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_B5_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
