rowid	MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRJBUTE_Clade	ATTRIBUTE_Genus	ATTRIBUTE_BrazilianBiome	ENVOEnvironmentBiome	ATTRIBUTE_WorldwideBiome	ATTRIBUTE_Humidity	ATTRIBUTE_CollectionSeason	ATTRIBUTE_Habit	ATTRIBUTE_PlantPart	id
6	MSV000085119	P1_A4_GA4_02_53320.mzXML	plant	plant_angiospermae	217129|Acridocarpus smeathmannii	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	4		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	05/13/1997 12:00	Gabon	not applicable	-0.61331|11.96029			MSV000085119_4	not applicable	not applicable	not applicable	B	Acridocarpus	not applicable	not applicable	Rainforest	Humid	Fall	Tree	leaf	5
224	MSV000085119	P4_A4_BA4_01_53818.mzXML	plant	plant_angiospermae	217129|Acridocarpus smeathmannii	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	4		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	05/13/1997 12:00	Gabon	not applicable	-0.61331|11.96029			MSV000085119_4	not applicable	not applicable	not applicable	B	Acridocarpus	not applicable	not applicable	Rainforest	Humid	Fall	Tree	leaf	223
404	MSV000085119	P1_A4_BA4_01_54113.mzXML	plant	plant_angiospermae	217129|Acridocarpus smeathmannii	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	4		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	05/13/1997 12:00	Gabon	not applicable	-0.61331|11.96029			MSV000085119_4	not applicable	not applicable	not applicable	B	Acridocarpus	not applicable	not applicable	Rainforest	Humid	Fall	Tree	leaf	403
622	MSV000085119	P4_A4_GA4_01_54392.mzXML	plant	plant_angiospermae	217129|Acridocarpus smeathmannii	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	4		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	05/13/1997 12:00	Gabon	not applicable	-0.61331|11.96029			MSV000085119_4	not applicable	not applicable	not applicable	B	Acridocarpus	not applicable	not applicable	Rainforest	Humid	Fall	Tree	leaf	621
1	MSV000085119	Blank_IS_RA1_01_53310.mzXML	blank_analysis	blank_analysis	not applicable	2020	not applicable	methanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	Blank		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			MSV000085119_Blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0
2	MSV000085119	Blank_IS_RA1_01_53312.mzXML	blank_analysis	blank_analysis	not applicable	2020	not applicable	methanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	Blank		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			MSV000085119_Blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1
397	MSV000085119	QC_RA2_01_53311.mzXML	blank_QC	blank_QC	not applicable	2020	not applicable	methanol-water (4:1)	sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	QC		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			MSV000085119_QC	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	396
398	MSV000085119	QC_RA2_01_53336.mzXML	blank_QC	blank_QC	not applicable	2020	not applicable	methanol-water (4:1)	sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	QC		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			MSV000085119_QC	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	397
399	MSV000085119	Blank_IS_RA1_01_54107.mzXML	blank_analysis	blank_analysis	not applicable	2020	not applicable	methanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	Blank		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			MSV000085119_Blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	398
400	MSV000085119	Blank_IS_RA1_01_54109.mzXML	blank_analysis	blank_analysis	not applicable	2020	not applicable	methanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	Blank		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			MSV000085119_Blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	399
795	MSV000085119	QC_RA2_01_54108.mzXML	blank_QC	blank_QC	not applicable	2020	not applicable	methanol-water (9:1)	sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	QC		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			MSV000085119_QC	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	794
796	MSV000085119	QC_RA2_01_54122.mzXML	blank_QC	blank_QC	not applicable	2020	not applicable	methanol-water (9:1)	sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	QC		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			MSV000085119_QC	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	795
150	MSV000085119	P2_F5_BA11_01_54620.mzXML	plant	plant_angiospermae	1027204|Sphedamnocarpus angolensis	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	148		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/15/1934 12:00	Zimbabwe	not applicable	-20.50652|28.43572			MSV000085119_148	not applicable	not applicable	not applicable	J	Sphedamnocarpus	not applicable	savanna biome	Savanna	Dry	Fall	Liana	leaf	149
368	MSV000085119	P5_F5_GF5_01_53997.mzXML	plant	plant_angiospermae	1027204|Sphedamnocarpus angolensis	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	148		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/15/1934 12:00	Zimbabwe	not applicable	-20.50652|28.43572			MSV000085119_148	not applicable	not applicable	not applicable	J	Sphedamnocarpus	not applicable	savanna biome	Savanna	Dry	Fall	Liana	leaf	367
548	MSV000085119	P2_F5_BD3_01_54660.mzXML	plant	plant_angiospermae	1027204|Sphedamnocarpus angolensis	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	148		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/15/1934 12:00	Zimbabwe	not applicable	-20.50652|28.43572			MSV000085119_148	not applicable	not applicable	not applicable	J	Sphedamnocarpus	not applicable	savanna biome	Savanna	Dry	Fall	Liana	leaf	547
766	MSV000085119	P5_F5_BF5_01_54568.mzXML	plant	plant_angiospermae	1027204|Sphedamnocarpus angolensis	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	148		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/15/1934 12:00	Zimbabwe	not applicable	-20.50652|28.43572			MSV000085119_148	not applicable	not applicable	not applicable	J	Sphedamnocarpus	not applicable	savanna biome	Savanna	Dry	Fall	Liana	leaf	765
17	MSV000085119	P1_B4_GB4_02_53344.mzXML	plant	plant_angiospermae	1027057|Aspicarpa harleyi	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	15		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/02/2017 12:00	Brazil	not applicable	-14.06739|-42.48925			MSV000085119_15	not applicable	not applicable	not applicable	J	Aspicarpa	tropical dry broadleaf forest biome	tropical dry broadleaf forest biome	Seasonally Dry Forest/Savanna	Dry	Spring	Shrub	leaf	16
235	MSV000085119	P4_B4_BB4_01_53831.mzXML	plant	plant_angiospermae	1027057|Aspicarpa harleyi	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	15		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/02/2017 12:00	Brazil	not applicable	-14.06739|-42.48925			MSV000085119_15	not applicable	not applicable	not applicable	J	Aspicarpa	tropical dry broadleaf forest biome	tropical dry broadleaf forest biome	Seasonally Dry Forest/Savanna	Dry	Spring	Shrub	leaf	234
415	MSV000085119	P1_B4_BB4_01_54126.mzXML	plant	plant_angiospermae	1027057|Aspicarpa harleyi	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	15		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/02/2017 12:00	Brazil	not applicable	-14.06739|-42.48925			MSV000085119_15	not applicable	not applicable	not applicable	J	Aspicarpa	tropical dry broadleaf forest biome	tropical dry broadleaf forest biome	Seasonally Dry Forest/Savanna	Dry	Spring	Shrub	leaf	414
