MassiveID	filename	SampleType	SampleTypeSub1	ENVOEnvironmentMaterial	UBERONBodyPartName	ATTRIBUTE_SampleTypemanual	ATTRIBUTE_Habitat	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_rainfall	ATTRIBUTE_elevation	ATTRIBUTE_shore_dist	ATTRIBUTE_shore_dist_Range
MSV000085129	03395_An_6.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3395.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/19/2019 12:00	United States of America	not applicable	21.63821798|-158.058617	500	not applicable	MSV000085129_3395	not applicable	not applicable	not applicable	1245.246	1.0	1.0	1245.246
MSV000085129	03396_An_1.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3396.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/19/2019 12:00	United States of America	not applicable	21.64132|158.0622	0	not applicable	MSV000085129_3396	not applicable	not applicable	not applicable				
MSV000085129	03397_An_5.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3397.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/19/2019 12:00	United States of America	not applicable	21.63858703|-158.059519	400	not applicable	MSV000085129_3397	not applicable	not applicable	not applicable	1212.093	0.361096	0.361096	1212.093
MSV000085129	03398_An_6.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3398.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/19/2019 12:00	United States of America	not applicable	21.638377988711|-158.058497020975	500	not applicable	MSV000085129_3398	not applicable	not applicable	not applicable	1245.246	2.476943	2.476943	1245.246
MSV000085129	03399_An_5.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3399.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/19/2019 12:00	United States of America	not applicable	21.6386560164392|-158.059400003403	400	not applicable	MSV000085129_3399	not applicable	not applicable	not applicable	1212.093	2.204942	2.204942	1212.093
MSV000085129	03400_An_1.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3400.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/18/2019 12:00	United States of America	not applicable	21.62209304|-158.019156	0	not applicable	MSV000085129_3400	not applicable	not applicable	not applicable	1910.119	159.159	159.159	1910.119
MSV000085129	03401_An_1.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3401.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/18/2019 12:00	United States of America	not applicable	21.62209304|-158.019156	0	not applicable	MSV000085129_3401	not applicable	not applicable	not applicable	1910.119	159.159	159.159	1910.119
MSV000085129	03402_An_5.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3402.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/18/2019 12:00	United States of America	not applicable	21.62068103|-158.017351	400	not applicable	MSV000085129_3402	not applicable	not applicable	not applicable	1965.344	176.7552	176.7552	1965.344
MSV000085129	03403_An_8.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3403.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/18/2019 12:00	United States of America	not applicable	21.61986002|-158.015093	700	not applicable	MSV000085129_3403	not applicable	not applicable	not applicable	2026.731	208.6149	208.6149	2026.731
MSV000085129	03404_An_2.mzML	animal			multicellular organism	Ant	Terrestrial	36668|Formicidae	2020	solid material, frozen	methanol-water (4:1)	sulfamethazine;sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3404.0	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/18/2019 12:00	United States of America	not applicable	21.62011399|-158.013361	100	not applicable	MSV000085129_3404	not applicable	not applicable	not applicable	2092.099	184.8355	184.8355	2092.099
