MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_treatment
MSV000085142	benznidazole_LI_A_Nov_m22.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_A_Nov_m23.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_A_Nov_m24.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_A_Nov_m25.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_A_Sept_m31.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_A_Sept_m32.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_A_Sept_m33.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_A_Sept_m34.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_A_Sept_m35.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Nov_m22.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Nov_m23.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Nov_m24.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Nov_m25.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Sept_m31.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Sept_m32.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Sept_m33.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Sept_m34.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_B_Sept_m35.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Nov_m22.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Nov_m23.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Nov_m24.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Nov_m25.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Sept_m31.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Sept_m32.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Sept_m33.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Sept_m34.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	benznidazole_LI_C_Sept_m35.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	benznidazole treatment
MSV000085142	carnitine_LI_A_Nov_m11.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Nov_m12.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Nov_m13.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Nov_m14.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Nov_m15.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Sept_m16.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Sept_m17.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Sept_m18.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Sept_m19.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_A_Sept_m20.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Nov_m11.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Nov_m12.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
