MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	SubjectIdentifierAsRecorded	ENVOBroadScale	ENVOLocalScale	ENVOMediumScale	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	ENVOLocalScaleIndex	ENVOBroadScaleIndex	ENVOMediumScaleIndex	classification	MS2spectra_count	USI
MSV000085894	LB_190801_FK2P_Kc.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190801_FK2P_Kh.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190801_FK2P_Km.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190801_FK2W_Kc.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190801_FK2W_Kh.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190801_FK2W_Km.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190801_PDA_SS.mzXML	blank_culturemedia	blank_culturemedia																				2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190801_WSP30_SS.mzXML	blank_culturemedia	blank_culturemedia																				2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_MeOH_190801_1.mzXML	blank_analysis	blank_analysis																				2020				Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_MeOH_190801_2.mzXML	blank_analysis	blank_analysis																				2020				Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190905_p5inj_76_10.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190905_p5inj_76_11.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
MSV000085894	LB_190905_p5inj_76_12.mzXML	fungi	culture_fungal	5537|Rhodotorula mucilaginosa								6-Oct-16			31.6603333|-38.5791667	-3602.7							2020	solid material, fresh	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)															
