MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_diet	ATTRIBUTE_sample_phase
MSV000086988	Blank_00.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_04.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_05.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_06.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_07.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_08.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_09.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_10.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_11.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_12.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_01-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_01-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_01-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_02-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_02-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_02-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_03-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_03-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_03-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
