MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_SampleID	ATTRIBUTE_SampleName	ATTRIBUTE_PPL_LOT_Number	ATTRIBUTE_PPL_Box_Number	ATTRIBUTE_Project	ATTRIBUTE_Experiment	ATTRIBUTE_Experiment_Blanks	ATTRIBUTE_SampleType	ATTRIBUTE_SampleVolume_mL	ATTRIBUTE_Contact	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	Redissolved in [ul] 80% MeOH 1%FA	Comment	Flow rate	Pump set up	Link BCO-DMO	Sample_ID (BCO-DMO)	Sampling Strategy	Year	Lon	Lat	DateTime_local	ISO_DateTime_UTC	ContactTime	DOC_umol/L	Total_N_umol/L	Total_P_umol/L	Phosphate_umol/L	Silicate_umol/L	N_plus_N_umol/L	Ammonia_umol/L	PON_ug/L	POC_ug/L	PON15_permil	POC13_permil	Salinity	Temperature_C	PicoEukaryotes_cells/uL	Prochlorococcus_cells/uL	Synechococcus_cells/uL	Heterotrophs_cells/uL	M_C_ratio	BIX	HIX	FI	Ultra_Violet_Humic_like_RFU	Marine_Humic_like_RFU	Visible_Humic_like_RFU	Tryptophan_like_RFU	Tyrosine_like_RFU	Phenylalanine_like_RFU	Fulvic_Acid_like_RFU	Optical_Brighteners_RFU	Diesel_Band_II_RFU	Petroleum_like_RFU	Lignin_like_RFU	PARAFAC1	PARAFAC2	PARAFAC3	PARAFAC4	PARAFAC5	PARAFAC6
MSV000088021	KB_2020_01.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	7/2/2019 12:00		not applicable	21.451605|-157.795509	not applicable	not applicable		not applicable	not applicable	not applicable	KB_2020_01	M203_T1	6393672_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-09-18T09:00:00Z	2019-09-18T19:00:00Z															1.03		9.26	144.54																					
MSV000088021	KB_2020_03.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_03	M209_T1	6393672_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0	red looking filamentous algae caught in syringe, pushed onto filter	8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-09-18T09:00:00Z	2019-09-18T19:00:00Z															8.76		40.71	605.18																					
MSV000088021	KB_2020_04.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_04	M210_T1	6393672_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0	sterivex lost during cracking	8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-09-18T09:00:00Z	2019-09-18T19:00:00Z															267.27		143.08	1465.48																					
MSV000088021	KB_2020_05.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_05	M211_T1	6393672_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-09-18T09:00:00Z	2019-09-18T19:00:00Z															7.1		88.8	545.76																					
MSV000088021	KB_2020_06.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_06	M212_T1	6393672_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-09-18T09:00:00Z	2019-09-18T19:00:00Z															4.67		58.69	440.65																					
MSV000088021	KB_2020_07.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_07	M217_T1	6393672_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-09-18T09:00:00Z	2019-09-18T19:00:00Z															4.94		52.08	416.73																					
MSV000088021	KB_2020_08.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_08	M218_T1	6393672_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-09-18T09:00:00Z	2019-09-18T19:00:00Z															9.74		98.81	730.66																					
MSV000088021	KB_2020_100.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_100	M12_T5	6444207_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															3.05		14.56	226.36																					
MSV000088021	KB_2020_101.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_101	M3_T5	6318643_02		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															1.25		0.4	175.58																					
MSV000088021	KB_2020_102.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_102	M4_T5	6318643_02		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															0.91		1.25	172.15																					
