MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	Country	LatitudeandLongitude	DepthorAltitudeMeters	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	NCBIRank	NCBIDivision
MSV000089502	AC_MT_A8_11105_05mgmL_inj1_BC3_1_2241.mzXML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome			species	Invertebrates
MSV000089502	AC_MT_A8_11105_05mgmL_inj2_BC3_1_2242.mzXML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome			species	Invertebrates
MSV000089502	AC_MT_A8_11105_05mgmL_inj3_BC3_1_2245.mzXML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome			species	Invertebrates
MSV000089502	AC_MT_A4_6328_05mgmL_inj1_BC2_1_2240.mzXML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome			species	Invertebrates
MSV000089502	AC_MT_A4_6328_05mgmL_inj2_BC2_1_2243.mzXML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome			species	Invertebrates
MSV000089502	AC_MT_A4_6328_05mgmL_inj3_BC2_1_2244.mzXML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome			species	Invertebrates
MSV000089502	AC_EM_A4_16_05mgmL_inj1_BA5_1_2187.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine pelagic biome			species	Invertebrates
MSV000089502	AC_EM_A4_16_05mgmL_inj2_BA5_1_2193.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A4_16_05mgmL_inj3_BA5_1_2209.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A4_32_05mgmL_inj1_BA4_1_2186.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
