MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex
MSV000089583	MMSRG_001.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_002.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_003.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_004.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_005.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_006.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_007.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_008.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_009.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_010.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_011.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_012.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_013.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_014.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_015.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_016.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_017.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_018.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_019.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_020.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_021.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_022.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_023.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_024.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_025.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_026.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_027.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_028.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_029.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_030.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_031.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_032.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_033.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_034.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_035.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_036.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_037.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_038.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_038_B.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_039.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_040.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_041.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_042.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_043.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_044.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_045.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_046.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_047.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_048.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_049.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_050.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
MSV000089583	MMSRG_051.mzML	culture_fungal	not applicable	not applicable	2021	solid, solid phase extraction (C18)	ethyl acetate (100%)	none	Xevo G2-S QTof|MS:1002276	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Brazil	not applicable	not applicable	not applicable	not applicable	MSV000088268_not applicable	not applicable	not applicable	not applicable
