MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_strain	ATTRIBUTE_strain_name	ATTRIBUTE_country	ATTRIBUTE_substrate	ATTRIBUTE_media
MSV000089742	P610295-11C-001.mzML	culture_bacterial	culture_bacterial	45398|Streptomyces griseoviridis	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610295-11C-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610295-11C-001	not specified	not applicable	not applicable	12874	Streptomyces griseoviridis	not specified	not specified	ISP-2
MSV000089742	P610296-11E-001.mzML	culture_bacterial	culture_bacterial	68042|Streptomyces hygroscopicus subsp. Hygroscopicus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610296-11E-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610296-11E-001	not specified	not applicable	not applicable	16553	Streptomyces hygroscopicus subsp. Hygroscopicus	not specified	not specified	ISP-2
MSV000089742	P610297-11G-001.mzML	culture_bacterial	culture_bacterial	1945|Streptomyces jumonjinensis	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610297-11G-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610297-11G-001	not specified	not applicable	not applicable	14060	Streptomyces jumonjinensis	not specified	not specified	ISP-2
MSV000089742	P610298-11J-001.mzML	culture_bacterial	culture_bacterial	29306|Streptomyces griseoluteus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610298-11J-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610298-11J-001	not specified	not applicable	not applicable	13375	Streptomyces griseoluteus	not specified	not specified	ISP-2
MSV000089742	P610299-11L-001.mzML	culture_bacterial	culture_bacterial	1905|Streptomyces exfoliatus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610299-11L-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610299-11L-001	not specified	not applicable	not applicable	13191	Streptomyces exfoliatus	not specified	not specified	ISP-2
MSV000089742	P610300-11N-001.mzML	culture_bacterial	culture_bacterial	1967|Streptomyces kanamyceticus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610300-11N-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610300-11N-001	not specified	not applicable	not applicable	13414	Streptomyces kanamyceticus	not specified	not specified	ISP-2
MSV000089742	P610301-11P-001.mzML	culture_bacterial	culture_bacterial	68228|Streptomyces lilacinus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610301-11P-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610301-11P-001	not specified	not applicable	not applicable	12884	Streptomyces lilacinus	not specified	not specified	ISP-2
MSV000089742	P610302-11R-001.mzML	culture_bacterial	culture_bacterial	1873719|Streptomyces hydrogenans	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610302-11R-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610302-11R-001	not specified	not applicable	not applicable	13475	Streptomyces hydrogenans	not specified	not specified	ISP-2
MSV000089742	P610303-11T-001.mzML	culture_bacterial	culture_bacterial	68194|Streptomyces durhamensis	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610303-11T-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610303-11T-001	not specified	not applicable	not applicable	13441	Streptomyces durhamensis	not specified	not specified	ISP-2
MSV000089742	P610304-11V-001.mzML	culture_bacterial	culture_bacterial	68214|Streptomyces griseochromogenes	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610304-11V-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10/11/2021 - 10/13/2021	United States of America	not specified	not specified	not specified	not specified	MSV000089742_P610304-11V-001	not specified	not applicable	not applicable	13413	Streptomyces griseochromogenes	not specified	not specified	ISP-2
