MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	id
MSV000090950	P1_A1_315_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	315.T4.S	1.065041	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_315.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	0
MSV000090950	P1_A2_331_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	331.T4.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_331.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	1
MSV000090950	P1_A3_310_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	310.T4.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_310.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	2
MSV000090950	P1_A4_302_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	302.T8.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_302.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	3
MSV000090950	P1_A5_327_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	327.T8.S	1.108848	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_327.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	4
MSV000090950	P1_A6_308_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	308.T12.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_308.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	5
MSV000090950	P1_A7_304_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	304.T12.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_304.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	6
MSV000090950	P1_A8_314_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	314.T12.S	1.065041	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_314.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	7
MSV000090950	P1_A9_308_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	308.T16.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_308.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	8
MSV000090950	P1_A10_335_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	335.T16.S	0.89803	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_335.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	9
