MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	LatitudeandLongitude(start)	LatitudeandLongitude (end)	LatitudeandLongitude	Depth_Meters	DepthorAltitudeMeters	ENVOBroadScale	ENVOLocalScale	ENVOMediumScale	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	rowid	id
MSV000091067	Ern_SU124_GM_liq_neg_17102022_1.mzXML	bacteria	culture_bacterial	1333662|Polaribacter atrinae	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									1	0
MSV000091067	Ern_SU124_GM_liq_neg_17102022_2.mzXML	bacteria	culture_bacterial	1333662|Polaribacter atrinae	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									2	1
MSV000091067	Ern_SU124_GM_sol_neg_17102022_1.mzXML	bacteria	culture_bacterial	1333662|Polaribacter atrinae	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									3	2
MSV000091067	Ern_SU124_GM_sol_neg_17102022_2.mzXML	bacteria	culture_bacterial	1333662|Polaribacter atrinae	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									4	3
MSV000091067	Ern_SU126_GM_liq_neg_17102022_1.mzXML	bacteria	culture_bacterial	150120|Shewanella livingstonensis	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									5	4
MSV000091067	Ern_SU126_GM_liq_neg_17102022_2.mzXML	bacteria	culture_bacterial	150120|Shewanella livingstonensis	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									6	5
MSV000091067	Ern_SU137_GM_liq_neg_17102022_1.mzXML	bacteria	culture_bacterial	147825|Psychrobacter proteolyticus	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									7	6
MSV000091067	Ern_SU137_GM_liq_neg_17102022_2.mzXML	bacteria	culture_bacterial	147825|Psychrobacter proteolyticus	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									8	7
MSV000091067	Ern_SU137_GM_sol_neg_17102022_1.mzXML	bacteria	culture_bacterial	147825|Psychrobacter proteolyticus	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									9	8
MSV000091067	Ern_SU137_GM_sol_neg_17102022_2.mzXML	bacteria	culture_bacterial	147825|Psychrobacter proteolyticus	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									10	9
MSV000091067	Ern_SU143_GM_liq_neg_17102022_1.mzXML	bacteria	culture_bacterial	281738|Psychrobacter nivimaris	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									11	10
MSV000091067	Ern_SU143_GM_liq_neg_17102022_2.mzXML	bacteria	culture_bacterial	281738|Psychrobacter nivimaris	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									12	11
MSV000091067	Ern_SU143_GM_sol_neg_17102022_1.mzXML	bacteria	culture_bacterial	281738|Psychrobacter nivimaris	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									13	12
MSV000091067	Ern_SU143_GM_sol_neg_17102022_2.mzXML	bacteria	culture_bacterial	281738|Psychrobacter nivimaris	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									14	13
MSV000091067	Ern_SU143_MB_liq_neg_17102022_1.mzXML	bacteria	culture_bacterial	281738|Psychrobacter nivimaris	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									15	14
MSV000091067	Ern_SU143_MB_liq_neg_17102022_2.mzXML	bacteria	culture_bacterial	281738|Psychrobacter nivimaris	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									16	15
MSV000091067	Ern_SU143_MB_sol_neg_17102022_1.mzXML	bacteria	culture_bacterial	281738|Psychrobacter nivimaris	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									17	16
MSV000091067	Ern_SU143_MB_sol_neg_17102022_2.mzXML	bacteria	culture_bacterial	281738|Psychrobacter nivimaris	2022	swabs, dry	ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									15-07-20		63.039167|-21.133333	62.953167|-21.127167	62.996167|-21.130250	325	325	Marine biome		Oceanic mesopelagic zone biome									18	17
MSV000091067	MM_BLANK_MB_LIQ_neg_06082022_3.mzXML	blank_culturemedia	blank_culturemedia		2022		ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)																											19	18
MSV000091067	MM_BLANK_MB_LIQ_pos_05082022_1.mzXML	blank_culturemedia	blank_culturemedia		2022		ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)																											20	19
MSV000091067	MM_BLANK_MB_sol_neg_06082022_1.mzXML	blank_culturemedia	blank_culturemedia		2022		ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)																											21	20
MSV000091067	MM_BLANK_MB_sol_neg_06082022_2.mzXML	blank_culturemedia	blank_culturemedia		2022		ethyl acetate (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)																											22	21
