MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	Country	LatitudeandLongitude	DepthorAltitudeMeters	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000091465	AC_CAPT1_P_BA2_1_4996.mzML	environmental	marine_invertebrates_insitu	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
MSV000091465	AC_CAPT2_P_BA3_1_5013.mzML	environmental	marine_invertebrates_insitu	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
MSV000091465	AC_CAPT1_amp_2_P_RB4_1_5004.mzML	environmental	marine_invertebrates_insitu	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
MSV000091465	AC_CAPT3_P_RB1_1_5010.mzML	environmental	marine_invertebrates_insitu	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
MSV000091465	AC_CAPT4_P_RB2_1_5000.mzML	environmental	marine_invertebrates_insitu	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
MSV000091465	AC_CAPT5_P_RB3_1_5002.mzML	environmental	marine_invertebrates_insitu	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
MSV000091465	CR_AC_2030_02mgmL_RD7_1_5001.mzML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome		ENVO:01000024	
MSV000091465	CR_AC_A4_02mgmL_RE1_1_5017.mzML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome		ENVO:01000024	
MSV000091465	CR_AC_MT_A1_02mgmL_RD8_1_5012.mzML	animal	marine_invertebrates	121477|Aplysina cavernicola	2022	solid material, dried	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.186602371662836|5.390608972839215	-20.0	marine benthic biome		ENVO:01000024	
MSV000091465	AO_CAPT1_P_RC1_1_5006.mzML	environmental	marine_invertebrates_insitu	72715|Agelas oroides	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.185644504919836|5.390364949352917	-10.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
MSV000091465	AO_CAPT2_P_RC2_1_4989.mzML	environmental	marine_invertebrates_insitu	72715|Agelas oroides	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.185644504919836|5.390364949352917	-10.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
MSV000091465	AO_CAPT3_P_RC3_1_5008.mzML	environmental	marine_invertebrates_insitu	72715|Agelas oroides	2022	liquid, solid phase extraction (DVB)	methanol-ethyl acetate (1:1)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.185644504919836|5.390364949352917	-10.0	marine benthic biome	sea water	ENVO:01000024	ENVO:00002149
