MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ATTRIBUTE_Station	ATTRIBUTE_FilterSize	ATTRIBUTE_Depth	UniqueSubjectID.1	Unnamed: 35	Filter_name	Station	Depth[m]	Feature	Date	FilterSize(um)	Filtercolor	Comment	Labels_metabolomics	Seemsemptyafternegativerun	Ordertoprocess	Jacileastpriority	#Teflonvial	DateExtractionStep1	CommentExtractionStep1	DateExtractionStep2	CommentsExtractionStep2	PPLserial/lot#	DateExtractionStep3	CommentsExtractionStep3	MS_pos_ID	sampleID	Notes for rerunning	ATTRIBUTE_SampleType	Exclude	Category	Filter_size	Category_Filtersize	Category_Station	Category_vol	Filter_size_vol	Category_Filtersize_vol	Category_Station_vol	Deployment	Pump	Note	CombinedGaugeInitial	GFFGaugeInitial[FH#1]	SuporGaugeInitial[FH#2]	CombinedGaugeFinal	GFFGaugeFinal[25000020]	SuporGaugeFinal[25000022]	CombinedGaugeDifference	GFFGaugeDifference	SuporGaugeDifference
MSV000092225	02_1_30.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/10/2018	Mexico	not applicable	20|-106.5	-30.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-30.0	MSV000092225_not applicable	02_1_30.mzML	0.2_1_30	1.0	30.0	Start Oxycline	6/10/2018	0.2	red/orange		ETNP18_filter				1.0	5/2/2023	shiny yellow color. red liquid present			6636854-02			02_1_30.mzML	02_1_30		2		Surface	0.2	Surface_0.2	Surface_1	Surface	0.2	Surface_0.2	Surface_1	1.0	Horizontal		6359.0	9578.0	2854.0	6466.0	9872.0	2969.0	107.0	294.0	115.0
MSV000092225	02_1_300.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/10/2018	Mexico	not applicable	20|-106.6	-300.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-300.0	MSV000092225_not applicable	02_1_300.mzML	0.2_1_300	1.0	300.0	Deep ODZ	6/10/2018	0.2			ETNP18_filter	x		3.0	1.0	4/26/2023	light and pale yellow-green color, slimy			6636854-02			02_1_300.mzML	02_1_300		2		AMZ	0.2	AMZ_0.2	AMZ_1	AMZ	0.2	AMZ_0.2	AMZ_1	2.0	Vertical		204160.0	135607.0	67093.0	204799.0	135816.0	67508.0	639.0	209.0	415.0
MSV000092225	02_1_50.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/11/2018	Mexico	not applicable	20|-106.7	-50.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-50.0	MSV000092225_not applicable	02_1_50.mzML	0.2_1_50	1.0	50.0	Oxycline finish	6/11/2018			failed pump, Supor Gauge Difference: 0	ETNP18_filter		1	1.0	1.0	3/9/2023	bright red liquid in the filter						02_1_50.mzML	02_1_50		2		Surface	0.2	Surface_0.2	Surface_1																
MSV000092225	02_1_80.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/10/2018	Mexico	not applicable	20|-106.8	-80.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-80.0	MSV000092225_not applicable	02_1_80.mzML	0.2_1_80	1.0	80.0	Almost no O2	6/10/2018	0.2			ETNP18_filter				1.0	5/3/2023	pea green color with some build up			6636854-02			02_1_80.mzML	02_1_80		2		Surface	0.2	Surface_0.2	Surface_1	Surface	0.2	Surface_0.2	Surface_1	2.0	Horizontal		6466.0	9872.0	2969.0	6598.0	10102.0	3244.0	132.0	230.0	275.0
MSV000092225	02_2_100.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/15/2018	Mexico	not applicable	17.5|-107.5	-100.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-100.0	MSV000092225_not applicable	02_2_100.mzML	0.2_2_100	2.0	100.0	Almost no O2	6/15/2018	0.2	Pale green		ETNP18_filter		!		1.0	5/8/2023	(used out of normal set because of empty cryovial #31 on sheet) inconsistent yellow color with some buildup			6636854-02	5/10/2023		02_2_100.mzML	02_2_100		2		Surface	0.2	Surface_0.2	Surface_2	Surface	0.2	Surface_0.2	Surface_2	5.0	Vertical		206659.0	137258.0	67913.0	207560.0	137980.0	68080.0	901.0	722.0	167.0
MSV000092225	02_2_120.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/15/2018	Mexico	not applicable	17.5|-107.6	-120.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-120.0	MSV000092225_not applicable	02_2_120.mzML	0.2_2_120	2.0	120.0	Secondary Chl Max	6/15/2018	0.2	light green		ETNP18_filter	x	!		3.0	5/11/2023	faint yellow-green color, minimal buildup				5/15/2023	may need to be desalinated	02_2_120.mzML	02_2_120		2		AMZ	0.2	AMZ_0.2	AMZ_2	AMZ	0.2	AMZ_0.2	AMZ_2	4.0	Horizontal		6599.0	10102.0	3249.0	6843.0	10892.0	3392.0	244.0	790.0	143.0
MSV000092225	02_2_180.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/15/2018	Mexico	not applicable	17.5|-107.7	-180.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-180.0	MSV000092225_not applicable	02_2_180.mzML	0.2_2_180	2.0	180.0	Incubation Expt Depth	6/15/2018	0.2	very pale yellow		ETNP18_filter		!		4.0	5/2/2023	faint shiny yellow color			6636854-02			02_2_180.mzML	02_2_180		2		AMZ	0.2	AMZ_0.2	AMZ_2	AMZ	0.2	AMZ_0.2	AMZ_2	4.0	Vertical		205806.0	136653.0	67673.0	206659.0	137258.0	67913.0	853.0	605.0	240.0
MSV000092225	02_2_20.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/16/2018	Mexico	not applicable	17.5|-107.8	-20.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-20.0	MSV000092225_not applicable	02_2_20.mzML	0.2_2_20	2.0	20.0	Surface	6/16/2018	0.2	light yellow green	*Irina read these off gauges, did not get final tenth of L	ETNP18_filter		!	4.0	4.0	5/3/2023	consistent light yellow cover			6636854-02			02_2_20.mzML	02_2_20		2		Surface	0.2	Surface_0.2	Surface_2	Surface	0.2	Surface_0.2	Surface_2	6.0	Horizontal	*Irina read these off gauges, did not get final tenth of L	7060.0	11520.0	3580.0	7193.0	11821.0	3804.0	133.0	301.0	224.0
MSV000092225	02_2_300.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/15/2018	Mexico	not applicable	17.5|-107.9	-300.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-300.0	MSV000092225_not applicable	02_2_300.mzML	0.2_2_300	2.0	300.0	Deep ODZ	6/15/2018	0.2	very light yellow brown		ETNP18_filter		!	2.0	2.0	5/15/2023	very faint yellow color, almost indiscernible				5/16/2023		02_2_300.mzML	02_2_300		2		AMZ	0.2	AMZ_0.2	AMZ_2	AMZ	0.2	AMZ_0.2	AMZ_2	3.0	Vertical		204799.0	135816.0	67508.0	205806.0	136653.0	67673.0	1007.0	837.0	165.0
MSV000092225	02_2_70.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/16/2018	Mexico	not applicable	17.5|-107.10	-70.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-70.0	MSV000092225_not applicable	02_2_70.mzML	0.2_2_70	2.0	70.0	Primary Chl max	6/16/2018	0.2	Pea green	*Irina read these off gauges, did not get final tenth of L	ETNP18_filter		!		1.0	5/15/2023	pea-green color, consistent cover				5/16/2023		02_2_70.mzML	02_2_70		2		Surface	0.2	Surface_0.2	Surface_2	Surface	0.2	Surface_0.2	Surface_2	6.0	Vertical	*Irina read these off gauges, did not get final tenth of L	207560.0	137980.0	68080.0	208112.0	138339.0	68279.0	552.0	359.0	199.0
