MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_Microbiome	ATTRIBUTE_Tryptophan_diet_status	ATTRIBUTE_Tryptophan_diet_percentage	ATTRIBUTE_Cumulative_Disease_Score	ATTRIBUTE_EAE_induction	ATTRIBUTE_HealthStatus_explained
MSV000092661	BLANK_1.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_10.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_11.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_12.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_13.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_14.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_15.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_16.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_17.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_18.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
