ATTRIBUTE_MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_strain	ATTRIBUTE_strain_name	ATTRIBUTE_country	ATTRIBUTE_substrate	ATTRIBUTE_media
MSV000093329	PLT8_ISP2_A1.mzML	culture_bacterial	culture_bacterial	931537|Nocardia grenadensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A1	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A1	not specified	not applicable	not applicable	JCM19117	Nocardia grenadensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A2.mzML	culture_bacterial	culture_bacterial	443156|Pedococcus dokdonensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A2	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A2	not specified	not applicable	not applicable	JCM19120	Pedococcus dokdonensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A3.mzML	culture_bacterial	culture_bacterial	684552|Agrococcus carbonis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A3	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A3	not specified	not applicable	not applicable	JCM19248	Agrococcus carbonis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A4.mzML	culture_bacterial	culture_bacterial	568844|Microbispora hainanensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A4	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A4	not specified	not applicable	not applicable	JCM19666	Microbispora hainanensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A5.mzML	culture_bacterial	culture_bacterial	546160|Dietzia lutea	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A5	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A5	not specified	not applicable	not applicable	JCM19954	Dietzia lutea	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A6.mzML	culture_bacterial	culture_bacterial	882452|Williamsia limnetica	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A6	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A6	not specified	not applicable	not applicable	JCM19965	Williamsia limnetica	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A7.mzML	culture_bacterial	culture_bacterial	398843|Rhodococcus kyotonensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A7	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A7	not specified	not applicable	not applicable	JCM23211	Rhodococcus kyotonensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A8.mzML	culture_bacterial	culture_bacterial	32040|Acidovorax konjaci	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A8	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A8	not specified	not applicable	not applicable	JCM2397	Acidovorax konjaci	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A9.mzML	culture_bacterial	culture_bacterial	1490222|Actinoallomurus bryophytorum	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A9	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A9	not specified	not applicable	not applicable	JCM30340	Actinoallomurus bryophytorum	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A10.mzML	culture_bacterial	culture_bacterial	589382|Agromyces flavus	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A10	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A10	not specified	not applicable	not applicable	JCM30488	Agromyces flavus	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_A11.mzML	culture_bacterial	culture_bacterial	629680|Brevibacterium sandarakinum	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_A11	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_A11	not specified	not applicable	not applicable	JCM30489	Brevibacterium sandarakinum	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B1.mzML	culture_bacterial	culture_bacterial	1266829|Kribbella albertanoniae	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B1	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B1	not specified	not applicable	not applicable	JCM30547	Kribbella albertanoniae	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B2.mzML	culture_bacterial	culture_bacterial	331618|Mycetocola reblochoni	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B2	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B2	not specified	not applicable	not applicable	JCM30549	Mycetocola reblochoni	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B3.mzML	culture_bacterial	culture_bacterial	37328|Nocardia carnea	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B3	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B3	not specified	not applicable	not applicable	JCM30727	Nocardia carnea	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B4.mzML	culture_bacterial	culture_bacterial	1291556|Nonomuraea fuscirosea	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B4	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B4	not specified	not applicable	not applicable	JCM30782	Nonomuraea fuscirosea	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B5.mzML	culture_bacterial	culture_bacterial	1144553|Nonomuraea solani	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B5	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B5	not specified	not applicable	not applicable	JCM30783	Nonomuraea solani	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B6.mzML	culture_bacterial	culture_bacterial	1136497|Brevibacterium siliguriense	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B6	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B6	not specified	not applicable	not applicable	JCM30994	Brevibacterium siliguriense	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B7.mzML	culture_bacterial	culture_bacterial	1260955|Streptosporangium sandarakinum	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B7	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B7	not specified	not applicable	not applicable	JCM30998	Streptosporangium sandarakinum	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B8.mzML	culture_bacterial	culture_bacterial	945692|Gordonia neofelifaecis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B8	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B8	not specified	not applicable	not applicable	JCM31031	Gordonia neofelifaecis	not specified	not specified	ISP-2
