filename	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	YearOfAnalysis	Country	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	InternalStandardsUsed	SampleExtractionMethod	SampleType	SampleTypeSub1	MassiveID
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_10_S16-D45_A_Rg70to1050-CE102040-soil-S1_Run53.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_11_S16-D45_B_Rg70to1050-CE205060-soil-S1_Run127.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_12_S16-D45_C_Rg70to1050-CE102040-soil-S1_Run198.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_13_S17-D45_A_Rg70to1050-CE102040-soil-S1_Run44.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_14_S17-D45_B_Rg70to1050-CE205060-soil-S1_Run99.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_15_S17-D45_C_Rg70to1050-CE102040-soil-S1_Run164.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_16_S32-D45_A_Rg70to1050-CE102040-soil-S1_Run29.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_17_S32-D45_B_Rg70to1050-CE205060-soil-S1_Run109.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_18_S32-D45_C_Rg70to1050-CE102040-soil-S1_Run231.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_19_S16-D89_A_Rg70to1050-CE102040-soil-S1_Run84.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_1_S16-D30_A_Rg70to1050-CE102040-soil-S1_Run78.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_20_S16-D89_B_Rg70to1050-CE205060-soil-S1_Run118.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_21_S16-D89_C_Rg70to1050-CE102040-soil-S1_Run216.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_22_S17-D89_A_Rg70to1050-CE102040-soil-S1_Run72.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_23_S17-D89_B_Rg70to1050-CE205060-soil-S1_Run145.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_24_S17-D89_C_Rg70to1050-CE102040-soil-S1_Run185.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_25_S32-D89_A_Rg70to1050-CE102040-soil-S1_Run20.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_26_S32-D89_B_Rg70to1050-CE205060-soil-S1_Run148.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_27_S32-D89_C_Rg70to1050-CE102040-soil-S1_Run167.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_28_S29-D30_A_Rg70to1050-CE102040-soil-S1_Run41.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_29_S29-D30_B_Rg70to1050-CE205060-soil-S1_Run106.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_2_S16-D30_B_Rg70to1050-CE205060-soil-S1_Run155.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_30_S29-D30_C_Rg70to1050-CE102040-soil-S1_Run182.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_31_S40-D30_A_Rg70to1050-CE102040-soil-S1_Run17.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_32_S40-D30_B_Rg70to1050-CE205060-soil-S1_Run87.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_33_S40-D30_C_Rg70to1050-CE102040-soil-S1_Run228.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_34_S53-D30_A_Rg70to1050-CE102040-soil-S1_Run69.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_35_S53-D30_B_Rg70to1050-CE205060-soil-S1_Run124.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_36_S53-D30_C_Rg70to1050-CE102040-soil-S1_Run213.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_37_S29-D45_A_Rg70to1050-CE102040-soil-S1_Run26.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_38_S29-D45_B_Rg70to1050-CE205060-soil-S1_Run90.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_39_S29-D45_C_Rg70to1050-CE102040-soil-S1_Run176.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_3_S16-D30_C_Rg70to1050-CE102040-soil-S1_Run194.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_40_S40-D45_A_Rg70to1050-CE102040-soil-S1_Run50.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_41_S40-D45_B_Rg70to1050-CE205060-soil-S1_Run139.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_42_S40-D45_C_Rg70to1050-CE102040-soil-S1_Run188.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_43_S53-D45_A_Rg70to1050-CE102040-soil-S1_Run23.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_44_S53-D45_B_Rg70to1050-CE205060-soil-S1_Run96.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_45_S53-D45_C_Rg70to1050-CE102040-soil-S1_Run207.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_46_S29-D89_A_Rg70to1050-CE102040-soil-S1_Run75.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_47_S29-D89_B_Rg70to1050-CE205060-soil-S1_Run115.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_48_S29-D89_C_Rg70to1050-CE102040-soil-S1_Run191.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_49_S40-D89_A_Rg70to1050-CE102040-soil-S1_Run32.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_4_S17-D30_A_Rg70to1050-CE102040-soil-S1_Run60.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_50_S40-D89_B_Rg70to1050-CE205060-soil-S1_Run142.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_51_S40-D89_C_Rg70to1050-CE102040-soil-S1_Run222.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_52_S53-D89_A_Rg70to1050-CE102040-soil-S1_Run66.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_53_S53-D89_B_Rg70to1050-CE205060-soil-S1_Run152.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_54_S53-D89_C_Rg70to1050-CE102040-soil-S1_Run201.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
