MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name
MSV000094545	AV-A19.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-A19-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-A20.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-A20-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-A24.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-A24-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-A5.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-A5-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-A6.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-A6-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-A7.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-A7r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-B11.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-B11-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-B20.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-B20-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-B21.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-B21-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-B22.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-B22-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-B4.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-B4-r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-B5.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-B5r.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						root										
MSV000094545	AV-C11.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-C16.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-C21.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
MSV000094545	AV-C24.mzXML	plant	plant_NOS	41378|Avicennia germinans	2024				6530A Q-TOF LC/MS|MS:1002786						stem										
