MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ATTRIBUTE_treatment	ATTRIBUTE_week
MSV000094560	LN_20230324_B7_84.mzML	blank_QC	blank_QC	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	United States of America	Not Applicable	Not Applicable	Not Applicable	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	not applicable	not applicable
MSV000094560	LN_20230324_Cardon_8_2_68.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
MSV000094560	LN_20230324_Cardon_8_3_69.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	8
MSV000094560	LN_20230324_Cardon_8_4_70.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
MSV000094560	LN_20230324_Cardon_8_5_71.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	8
MSV000094560	LN_20230324_Cardon_8_6_72.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
MSV000094560	LN_20230324_Cardon_8_7_73.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	8
MSV000094560	LN_20230324_Cardon_8_8_74.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
MSV000094560	LN_20230324_Cardon_8_9_75.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	8
MSV000094560	LN_20230324_Cardon_8_10_76.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
