MassiveID	filename	NCBITaxonomy	MassSpectrometer	UBERONBodyPartName	YearOfAnalysis
MSV000095400	190401_M2_1h_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M2_2h_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M2_30_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M2_48h_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M2_4h_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M3_1h_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M3_2h_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M3_30_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M3_48h_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
MSV000095400	190401_M3_4h_01.mzXML	10090|Mus musculus	6470A Triple Quadrupole LC/MS|MS:1000935	duodenum	2024
