MassiveID	filename	SampleType	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_DEPTH	ATTRIBUTE_STATION	sample_code_rosetta	ATTRIBUTE_density	ATTRIBUTE_sal	ATTRIBUTE_Sbeox0ML/L	ATTRIBUTE_Sbeox0Mg/L	ATTRIBUTE_Sbeox0PS	ATTRIBUTE_PrDM	ATTRIBUTE_temp	ATTRIBUTE_conductivity	ATTRIBUTE_fl-eco-afl	ATTRIBUTE_turb	ATTRIBUTE_CStarTr0	ATTRIBUTE_par	ATTRIBUTE_spar	ATTRIBUTE_Leu_ratio	ATTRIBUTE_leu.ratio.st.des
MSV000095697	AN2WDOC_PPL_001_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/23/2022 09.00	not applicable	not applicable	-62.71|-60.636	-5.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	surf	ST01	AN2_ST01_SURF	1027.328	34.10548	7.576508	10.8276	97.33575	5.496333	1.353517	2.951309	0.52095	0.129333	95.17503	103.8606	383.4525	29.1883	17.90544
MSV000095697	AN2WDOC_PPL_002_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/23/2022 09.00	not applicable	not applicable	-62.71|-60.636	-25.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	DCM	ST01	AN2_ST01_DCM	1027.426	34.10768	7.571367	10.82022	97.20689	25.43278	1.327689	2.950189	0.791789	0.130411	95.25892	17.86122	355.37	28.17128	17.28805
MSV000095697	AN2WDOC_PPL_003_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/24/2022 09.00	not applicable	not applicable	-62.916|-61.036	-5.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	surf	ST02	AN2_ST02_SURF	1027.285	34.05795	7.714836	11.02527	99.17145	4.853273	1.389709	2.950648	0.672773	0.133964	94.66945	148.7755	439.8	22.34774	2.830055
MSV000095697	AN2WDOC_PPL_004_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/24/2022 09.00	not applicable	not applicable	-62.916|-61.036	-29.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	DCM	ST02	AN2_ST02_DCM	1027.423	34.07562	7.65053	10.93339	98.1278	29.7687	1.29812	2.945356	1.11269	0.13813	95.00795	14.6781	434.387	15.90597	6.542812
MSV000095697	AN2WDOC_PPL_005_NEG_blk.mzML	blank_extraction	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/24/2022 09.00	not applicable	not applicable			not specified	MSV000095697_not specified	not specified	not applicable	not applicable	blank	ST02	AN2_ST02_BLK															
MSV000095697	AN2WDOC_PPL_006_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/25/2022 09.00	not applicable	not applicable	-64.578|-62.566	-5.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	surf	ST03	AN2_ST03_SURF	1027.283	34.02247	7.073092	10.10816	90.02967	5.197417	1.013217	2.915844	0.359358	0.185767	90.17214	243.5125	784.0908	5.287824	2.121975
MSV000095697	AN2WDOC_PPL_007_NEG_exp.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/26/2022 09.00	not applicable	not applicable	-65.149|-65.637	-5.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	surf	ST04	AN2_ST04_SURF	1026.882	33.52298	8.013975	11.45276	101.5244	4.592917	0.964175	2.872906	0.759742	0.15295	85.36938	205.6908	643.7283	41.39048	27.55581
MSV000095697	AN2WDOC_PPL_008_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/26/2022 09.00	not applicable	not applicable	-65.149|-65.637	-20.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	DCM	ST04	AN2_ST04_DCM	1026.984	33.55822	7.947678	11.358	100.6381	19.79522	0.936711	2.874028	1.439333	0.158556	86.0388	24.96733	637.7478	28.90506	23.49676
MSV000095697	AN2WDOC_PPL_010_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/27/2022 09.00	not applicable	not applicable	-67.748|-68.027	-5.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	surf	ST05	AN2_ST05_SURF	1026.827	33.4003	8.14007	11.633	101.7029	7.5149	0.46059	2.821564	2.0455	0.17698	83.47606	53.834	327.035	86.2237	32.88816
MSV000095697	AN2WDOC_PPL_011_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2022	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	01/27/2022 09.00	not applicable	not applicable	-67.748|-68.027	-19.0	not specified	MSV000095697_not specified	not specified	not applicable	not applicable	DCM	ST05	AN2_ST05_DCM	1026.889	33.40365	8.11614	11.59878	101.4124	20.0416	0.4629	2.822578	2.10926	0.17522	84.11174	9.55642	348.36	60.45507	16.67155
