MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	Ionization	Type_site	Notes	Label_sample
MSV000095712	JCB_26Aug24_A-N-40_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.447602|108.987798	-0.4	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-N-40 
MSV000095712	JCB_26Aug24_A-N-55_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.447602|108.987798	-0.55	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-N-55
MSV000095712	JCB_26Aug24_A-N-70_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.447602|108.987798	-0.7	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-N-70
MSV000095712	JCB_26Aug24_A-N-100_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.447602|108.987798	-1.0	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-N-100
MSV000095712	JCB_26Aug24_A-N-130_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.447602|108.987798	-1.3	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-N-130
MSV000095712	JCB_26Aug24_A-N-160_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.447602|108.987798	-1.6	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-N-160
MSV000095712	JCB_26Aug24_A-F-20_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.446718|108.987863	-0.2	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-F-20
MSV000095712	JCB_26Aug24_A-F-35_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.446718|108.987863	-0.35	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-F-35
MSV000095712	JCB_26Aug24_A-F-50_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.446718|108.987863	-0.5	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-F-50
MSV000095712	JCB_26Aug24_A-F-80_pos.mzML	environmental	dissolvedorganicmatter_soil	not applicable	2024	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	4/17/2024	Indonesia	not specified	0.446718|108.987863	-0.8	ENVO:00000446	ENVO:00005774			not applicable	not applicable	not applicable	Positive	POREWATER		A-F-80
