MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	SampleCollectionDateandTime	Country	LatitudeandLongitude	DepthorAltitudeMeters	Attribute_Set	ATTRIBUTE_Unique ID	ATTRIBUTE_Processing_Plate	ATTRIBUTE_Processing_Row	ATTRIBUTE_Processing_Column	ATTRIBUTE_Processing_Position	ATTRIBUTE_Code	ATTRIBUTE_Host	ATTRIBUTE_Microbiome	ATTRIBUTE_Treatment	ATTRIBUTE_QC	id
MSV000095905	MCMK_RTE2023_Exploris240_157_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris368	electrospray ionization (positive)	reverse phase (C18)	157	04-04-2023 14:13	United States of America	32.52416|117.14276	132	6	157	E	F	3	F03	NM22-CB19-S	NM22	CB19	S	Passed_QC	11
MSV000095905	MCMK_RTE2023_Exploris240_157_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris369	electrospray ionization (positive)	reverse phase (C18)	157	04-04-2023 14:13	United States of America	32.52416|117.14276	132	6	157	E	F	4	F04	NM22-CB19-S	NM22	CB19	S	Passed_QC	12
MSV000095905	MCMK_RTE2023_Exploris240_247_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris568	electrospray ionization (positive)	reverse phase (C18)	247	05-02-2023 11:17	United States of America	32.52416|117.14276	132	3	247	G	H	5	H05	NM22-CB19-C	NM22	CB19	C	Passed_QC	31
MSV000095905	MCMK_RTE2023_Exploris240_247_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris569	electrospray ionization (positive)	reverse phase (C18)	247	05-02-2023 11:17	United States of America	32.52416|117.14276	132	3	247	G	H	6	H06	NM22-CB19-C	NM22	CB19	C	Passed_QC	32
MSV000095905	MCMK_RTE2023_Exploris240_335_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris764	electrospray ionization (positive)	reverse phase (C18)	335	05-02-2023 14:03	United States of America	32.52416|117.14276	132	5	335	I	H	5	H05	NM22-CB19-S	NM22	CB19	S	Passed_QC	53
MSV000095905	MCMK_RTE2023_Exploris240_335_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris765	electrospray ionization (positive)	reverse phase (C18)	335	05-02-2023 14:03	United States of America	32.52416|117.14276	132	5	335	I	H	6	H06	NM22-CB19-S	NM22	CB19	S	Passed_QC	54
MSV000095905	MCMK_RTE2023_Exploris240_425_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris964	electrospray ionization (positive)	reverse phase (C18)	425	05/30/2023 11:15	United States of America	32.52416|117.14276	132	1	425	K	F	9	F09	NM22-CB19-C	NM22	CB19	C	Passed_QC	77
MSV000095905	MCMK_RTE2023_Exploris240_425_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris965	electrospray ionization (positive)	reverse phase (C18)	425	05/30/2023 11:15	United States of America	32.52416|117.14276	132	1	425	K	F	10	F10	NM22-CB19-C	NM22	CB19	C	Passed_QC	78
MSV000095905	MCMK_RTE2023_Exploris240_515_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1164	electrospray ionization (positive)	reverse phase (C18)	515	05/30/2023 13:03	United States of America	32.52416|117.14276	132	1	515	N	D	1	D01	NM22-CB19-S	NM22	CB19	S	Passed_QC	97
MSV000095905	MCMK_RTE2023_Exploris240_515_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1165	electrospray ionization (positive)	reverse phase (C18)	515	05/30/2023 13:03	United States of America	32.52416|117.14276	132	1	515	N	D	2	D02	NM22-CB19-S	NM22	CB19	S	Passed_QC	98
MSV000095905	MCMK_RTE2023_Exploris240_67_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1506	electrospray ionization (positive)	reverse phase (C18)	67	04-04-2023 10:54	United States of America	32.52416|117.14276	132	1	67	B	F	3	F03	NM22-CB19-C	NM22	CB19	C	Passed_QC	159
MSV000095905	MCMK_RTE2023_Exploris240_67_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1507	electrospray ionization (positive)	reverse phase (C18)	67	04-04-2023 10:54	United States of America	32.52416|117.14276	132	1	67	B	F	4	F04	NM22-CB19-C	NM22	CB19	C	Passed_QC	160
MSV000095905	MCMK_RTE2023_Exploris240_152_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris358	electrospray ionization (positive)	reverse phase (C18)	152	04-04-2023 14:09	United States of America	32.52416|117.14276	132	6	152	E	E	3	E03	NM22-CM49-S	NM22	CM49	S	Passed_QC	2
MSV000095905	MCMK_RTE2023_Exploris240_152_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris359	electrospray ionization (positive)	reverse phase (C18)	152	04-04-2023 14:09	United States of America	32.52416|117.14276	132	6	152	E	E	4	E04	NM22-CM49-S	NM22	CM49	S	Passed_QC	3
MSV000095905	MCMK_RTE2023_Exploris240_242_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris558	electrospray ionization (positive)	reverse phase (C18)	242	05-02-2023 11:28	United States of America	32.52416|117.14276	132	3	242	G	G	5	G05	NM22-CM49-C	NM22	CM49	C	Passed_QC	21
MSV000095905	MCMK_RTE2023_Exploris240_242_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris559	electrospray ionization (positive)	reverse phase (C18)	242	05-02-2023 11:28	United States of America	32.52416|117.14276	132	3	242	G	G	6	G06	NM22-CM49-C	NM22	CM49	C	Passed_QC	22
MSV000095905	MCMK_RTE2023_Exploris240_330_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris754	electrospray ionization (positive)	reverse phase (C18)	330	05-02-2023 14:12	United States of America	32.52416|117.14276	132	5	330	I	G	5	G05	NM22-CM49-S	NM22	CM49	S	Passed_QC	43
