MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	ATTRIBUTE_colonization_strain	ATTRIBUTE_strain	ATTRIBUTE_colonization	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000096039	feces_3xtg_1.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 4	0.5833333333	female	feces					2019-12-20T00:00:00Z	United States of America					GF 3XTG	GF	3XTG										
MSV000096039	feces_3xtg_2.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 8	0.5833333333	female	feces					2019-12-20T00:00:00Z	United States of America					GF B6	GF	B6										
MSV000096039	feces_3xtg_3.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 13	0.3333333333	female	feces					2019-12-20T00:00:00Z	United States of America					GF 3XTG	GF	3XTG										
MSV000096039	feces_3xtg_4.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 14	0.3333333333	female	feces					2019-12-20T00:00:00Z	United States of America					GF 3XTG	GF	3XTG										
MSV000096039	feces_3xtg_5.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 15	0.3333333333	female	feces					2019-12-20T00:00:00Z	United States of America					GF 3XTG	GF	3XTG										
MSV000096039	feces_3xtg_6.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 18	0.3333333333	female	feces					2019-12-20T00:00:00Z	United States of America					GF B6	GF	B6										
MSV000096039	feces_3xtg_7.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 19	0.3333333333	female	feces					2019-12-20T00:00:00Z	United States of America					GF B6	GF	B6										
MSV000096039	feces_3xtg_8.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 24	0.08333333333	female	feces					2020-04-06T00:00:00Z	United States of America					GF 3XTG	GF	3XTG										
MSV000096039	feces_3xtg_9.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 24	0.08333333333	female	feces					2020-04-06T00:00:00Z	United States of America					GF 3XTG	GF	3XTG										
MSV000096039	feces_3xtg_10.mzML	animal	biofluid	10090|Mus musculus	2024.0	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 25	0.08333333333	female	feces					2020-04-06T00:00:00Z	United States of America					GF 3XTG	GF	3XTG										
