MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	SubjectIdentifierAsRecorded	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded.1	SampleCollectionDateandTime	Country	LatitudeandLongitude	ATTRIBUTE_tank	ATTRIBUTE_culture	ATTRIBUTE_treat	ATTRIBUTE_pop	ATTRIBUTE_volume	ATTRIBUTE_batch	ATTRIBUTE_extr_no	Filename	Spe_elution_label
MSV000096471	T3-OG-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-OG-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-OG-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	mono	c	OG	130.0	1	1	T3-OG-R5	#1_T3-OG-R5
MSV000096471	T3-MP-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-MP-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-MP-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	mono	c	MP	65.0	1	2	T3-MP-R3	#2_T3-MP-R3
MSV000096471	T5-MP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T5-MP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T5-MP-R5	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5.0	mono	c	MP	100.0	1	3	T5-MP-R5	#3_T5-MP-R5
MSV000096471	T6-PP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-PP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-PP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	poly	h	PP	65.0	1	4	T6-PP-R5	#4_T6-PP-R5
MSV000096471	T1-OG-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T1-OG-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T1-OG-R3	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1.0	mono	c	OG	65.0	1	5	T1-OG-R3	#5_T1-OG-R3
MSV000096471	T5-BL-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T5-BL-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T5-BL-R7	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5.0	mono	c	BL	100.0	1	6	T5-BL-R7	#6_T5-BL-R7
MSV000096471	T3-OG-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-OG-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-OG-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	mono	c	OG	65.0	1	7	T3-OG-R3	#7_T3-OG-R3
MSV000096471	T5-OG-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T5-OG-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T5-OG-R5	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5.0	mono	c	OG	100.0	1	8	T5-OG-R5	#8_T5-OG-R5
MSV000096471	T2-PP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T2-PP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T2-PP-R5	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2.0	poly	h	PP	50.0	1	9	T2-PP-R5	#9_T2-PP-R5
MSV000096471	Blank-1.mzML	blank_extraction	blank_extraction	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	Blank-1	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	Blank-1		United States of America	38.318639832515096|-123.07160615397322						1	10	Blank-1	#10_Blank-1
MSV000096471	T2-BL-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T2-BL-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T2-BL-R7	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2.0	mono	h	BL	100.0	2	11	T2-BL-R7	#11_T2-BL-R7
MSV000096471	T1-PP-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T1-PP-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T1-PP-R3	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1.0	poly	c	PP	100.0	2	12	T1-PP-R3	#12_T1-PP-R3
MSV000096471	T3-MP-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-MP-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-MP-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	mono	c	MP	100.0	2	13	T3-MP-R7	#13_T3-MP-R7
MSV000096471	T1-MP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T1-MP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T1-MP-R5	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1.0	mono	c	MP	100.0	2	14	T1-MP-R5	#14_T1-MP-R5
MSV000096471	T3-PP-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-PP-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-PP-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	poly	c	PP	65.0	2	15	T3-PP-R3	#15_T3-PP-R3
MSV000096471	T3-MP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-MP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-MP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	mono	c	MP	80.0	2	16	T3-MP-R5	#16_T3-MP-R5
MSV000096471	T6-OG-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-OG-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-OG-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	mono	h	OG	85.0	2	17	T6-OG-R7	#17_T6-OG-R7
