MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	UBERONBodyPartName	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ATTRIBUTE_Days	...
MSV000096491	Blank_1_preinjection_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_1_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_2_preinjection_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_2_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_3_preinjection_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_3_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_4_preinjection_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_5_preinjection_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_6_preinjection_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_8_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_9_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_10_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_11_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_12_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_13_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_14_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_15_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_16_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_17_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_18_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_19_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_20_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_21_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_22_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_23_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_24_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_25_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_26_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_27_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_28_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_29_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_30_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_31_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_32_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_33_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_34_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_35_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_36_20241104030848_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_36_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_37_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Blank_POS.mzML	blank_analysis	blank_analysis	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_1_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_2_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_3_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_4_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_5_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_6_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_7_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_8_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_9_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	Extraction_Blank_10_POS.mzML	blank_extraction	blank_extraction	not applicable	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)			United States of America			1				not applicable	
MSV000096491	P1_A1_1_AB-HOK-2-5_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A2_2_AB-HOK-2-4_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A3_3_AB-HOK-2-3_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A4_4_AB-HOK-2-2_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A5_5_AB-HOK-2-1_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A6_6_P-HOK-2-5_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A7_7_P-HOK-2-4_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A8_8_P-HOK-2-3_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A9_9_P-HOK-2-2_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A10_10_P-HOK-2-1_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A11_11_AB-HOK-1-5_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_A12_12_AB-HOK-1-4_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_B1_13_AB-HOK-1-3_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_B2_14_AB-HOK-1-2_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_B3_15_AB-HOK-1-1_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_B4_16_P-HOK-1-5_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_B5_17_P-HOK-1-4_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
MSV000096491	P1_B6_18_P-HOK-1-3_POS.mzML	environmental	plant_angiospermae	109069|Anlus rubra	2024	solid material, dried	methanol:water (7:3)	sulfadimethoxine;sulfachloropyridazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	leaf		United States of America		48.24146 -124.38383	1			plant litter	not applicable	
