filename	SampleTypeSub1	UBERONBodyPartName	MassiveID	SampleType	NCBITaxonomy
P3_E8_G72464.mzML	food_source_plant		MSV000096584	food	NA|x
P5_G5_G72471.mzML	food_source_plant	fruit	MSV000096584	food	16718|x
P3_C12_72475.mzML	food_source_plant	stem	MSV000096584	food	4682|Allium sativum
P3_B9_G72492.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P3_B8_G72493.mzML	food_source_plant		MSV000096584	food	178616|Brassica oleracea var. gemmifera
P3_B7_72497.mzML	food_source_plant	fruit	MSV000096584	food	3658|Cucumis melo var. cantalupo
P3_B6_G72498.mzML	food_source_plant	fruit	MSV000096584	food	4072|Capsicum annuum
P3_B5_72500.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_G4_G72502.mzML	food_source_plant	seed	MSV000096584	food	49212|x
P5_G2_G72503.mzML	food_source_plant	seed	MSV000096584	food	4498|x
P3_D6_72504.mzML	food_source_plant	fruit	MSV000096584	food	3494|x
P5_G3_G72505.mzML	food_source_plant	seed	MSV000096584	food	4498|x
P3_D2_72507.mzML	food_source_NOS		MSV000096584	food	4679|Allium cepa
P5_F11_G72511.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_F12_G72512.mzML	food_source_plant	flower	MSV000096584	food	219868|Syzygium aromaticum
P5_G1_G72513.mzML	food_source_plant	seed	MSV000096584	food	105181|Elettaria cardamomum
P3_D4_72540.mzML	food_source_plant	fruit	MSV000096584	food	3654|Citrullus lanatus
P3_A8_G72663.mzML	food_source_plant	seed	MSV000096584	food	3469|Papaver somniferum
P3_B10_72671.mzML	food_source_plant	leaf	MSV000096584	food	39350|Ocimum basilicum
P3_B4_72717.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P3_B3_G72718.mzML	food_source_plant	seed	MSV000096584	food	NA|x
P3_B2_G72719.mzML	food_source_animal		MSV000096584	food	NA|x
P3_B1_G72725.mzML	food_source_plant	seed	MSV000096584	food	4498|x
P3_A12_G72726.mzML	food_source_plant	seed	MSV000096584	food	NA|x
P3_D7_72799.mzML	food_source_plant	leaf	MSV000096584	food	3713|Brassica oleracea var. viridis
P3_A3_G72801.mzML	food_source_animal	egg cell	MSV000096584	food	9031|Gallus gallus
P4_C9_G73433.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P4_C8_G73434.mzML	food_source_plant	fruit	MSV000096584	food	4072|Capsicum annuum
P4_C7_G73435.mzML	food_source_plant	fruit	MSV000096584	food	3885|Phaseolus vulgaris
P4_C6_G73436.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P4_C5_G73437.mzML	food_source_plant	fruit	MSV000096584	food	171249|Citrus limonia
P4_C4_G73438.mzML	food_source_plant	fruit	MSV000096584	food	42229|Prunus avium
P4_C3_G73439.mzML	food_source_plant	fruit	MSV000096584	food	3750|Malus domestica
P1_F3_G73440.mzML	food_source_animal		MSV000096584	food	NA|x
P4_C2_G73441.mzML	food_source_plant	fruit	MSV000096584	food	3663|Cucurbita pepo
P4_C1_G73442.mzML	food_source_plant	fruit	MSV000096584	food	869827|Cucumis sativus var. sativus
P3_D9_G73443.mzML	food_source_plant	fruit	MSV000096584	food	4072|Capsicum annuum
P3_E6_G73444.mzML	food_source_plant	fruit	MSV000096584	food	869827|Cucumis sativus var. sativus
P3_E7_G73445.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
P3_D11_G73446.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
P3_D10_G73447.mzML	food_source_plant	fruit	MSV000096584	food	4081|x
P3_E2_G73448.mzML	food_source_plant	leaf	MSV000096584	food	3726|Raphanus sativus
P3_E3_G73449.mzML	food_source_plant	root	MSV000096584	food	3726|Raphanus sativus
P3_E4_G73450.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P3_E5_G73451.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
P3_A7_G73455.mzML	food_source_plant	tuber	MSV000096584	food	4113|Solanum tuberosum
P3_A6_G73457.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P3_A5_G73458.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P3_A4_G73459.mzML	food_source_animal	egg cell	MSV000096584	food	9031|Gallus gallus
P3_F3_G73475.mzML	food_source_plant	root	MSV000096584	food	NA|x
P3_F5_G73479.mzML	food_source_plant		MSV000096584	food	NA|x
P3_F8_G73480.mzML	food_source_plant		MSV000096584	food	3728|x
P3_E10_G73481.mzML	food_source_plant		MSV000096584	food	NA|x
P3_G2_G73483.mzML	food_source_plant		MSV000096584	food	NA|x
P3_G1_G73509.mzML	food_source_plant		MSV000096584	food	NA|x
P3_A2_G73517.mzML	food_source_animal	milk	MSV000096584	food	NA|x
P3_G4_G73518.mzML	food_source_animal	milk	MSV000096584	food	NA|x
P5_E6_G73653.mzML	food_source_animal	milk	MSV000096584	food	NA|x
P5_E7_G73654.mzML	food_source_animal	milk	MSV000096584	food	NA|x
P3_C10_73714.mzML	food_source_plant	fruit	MSV000096584	food	29760|Vitis vinifera
P3_C11_73730.mzML	food_source_plant	fruit	MSV000096584	food	29780|Mangifera indica
P5_A3_G73940.mzML	food_source_plant	fruit	MSV000096584	food	381124|Zea mays subsp. mays
P3_D12_G73941.mzML	food_source_plant	stem	MSV000096584	food	4678|Allium
P5_A1_G73942.mzML	food_source_plant	fruit	MSV000096584	food	3747|Fragaria x ananassa
P4_G5_G73943.mzML	food_source_plant	leaf	MSV000096584	food	72341|Artemisia dracunculus
P4_G4_G73945.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_A2_G73946.mzML	food_source_plant	leaf	MSV000096584	food	49992|Thymus vulgaris
P4_G6_G73947.mzML	food_source_plant	tuber	MSV000096584	food	4113|Solanum tuberosum
P4_G7_G73948.mzML	food_source_plant	stem	MSV000096584	food	74900|Allium schoenoprasum
P4_G8_G73949.mzML	food_source_plant	flower	MSV000096584	food	74900|Allium schoenoprasum
P4_G9_G73950.mzML	food_source_plant	leaf	MSV000096584	food	39174|Origanum
P3_E1_G73951.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_A4_G73952.mzML	food_source_plant	leaf	MSV000096584	food	1527200|Beta vulgaris subsp. cicla
P5_A5_G73953.mzML	food_source_plant	leaf	MSV000096584	food	1527200|Beta vulgaris subsp. cicla
P5_A6_G73954.mzML	food_source_plant	leaf	MSV000096584	food	4043|Petroselinum crispum
P3_A11_73980.mzML	food_source_plant	fruit	MSV000096584	food	3494|x
P3_A10_73981.mzML	food_source_plant	leaf	MSV000096584	food	39367|Salvia rosmarinus
P3_A9_73982.mzML	food_source_plant	flower	MSV000096584	food	NA|x
P3_D8_73990.mzML	food_source_plant	fruit	MSV000096584	food	4081|x
P3_D5_73996.mzML	food_source_plant	stem	MSV000096584	food	109379|Brassica oleracea var. gongylodes
