MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	UBERONBodyPartName	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase
MSV000097043	Lil50_05_500ppm_cent_pos.mzML	plant	plant_angiospermae	100514|Asparagus cochinchinensis	tuber	2024.0	solid material, dried	ethanol-water (1:1)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	LilE05_500ppm_cent_pos.mzML	plant	plant_angiospermae	100514|Asparagus cochinchinensis	tuber	2024.0	solid material, dried	ethanol (100%)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	LilW05_500ppm_cent_pos.mzML	plant	plant_angiospermae	100514|Asparagus cochinchinensis	tuber	2024.0	solid material, dried	water (100%) (deg_C_NOS)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	LilE05_500ppm_cent_neg.mzML	plant	plant_angiospermae	100514|Asparagus cochinchinensis	tuber	2024.0	solid material, dried	ethanol-water (1:1)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Lil50_07_500ppm_cent_neg.mzML	plant	plant_angiospermae	100514|Asparagus cochinchinensis	tuber	2024.0	solid material, dried	ethanol (100%)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	LilW04_500ppm_cent_neg.mzML	plant	plant_angiospermae	100514|Asparagus cochinchinensis	tuber	2024.0	solid material, dried	water (100%) (deg_C_NOS)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Ros50_08_500ppm_cent_pos.mzML	plant	plant_angiospermae	102107|Prunus mume	fruit	2024.0	solid material, dried	ethanol-water (1:1)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	RosE08_500ppm_cent_pos.mzML	plant	plant_angiospermae	102107|Prunus mume	fruit	2024.0	solid material, dried	ethanol (100%)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	RosW08_500ppm_cent_pos.mzML	plant	plant_angiospermae	102107|Prunus mume	fruit	2024.0	solid material, dried	water (100%) (deg_C_NOS)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	RosE09_500ppm_cent_neg.mzML	plant	plant_angiospermae	102107|Prunus mume	fruit	2024.0	solid material, dried	ethanol-water (1:1)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Ros50_11_500ppm_cent_neg.mzML	plant	plant_angiospermae	102107|Prunus mume	fruit	2024.0	solid material, dried	ethanol (100%)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	RosW08_500ppm_cent_neg.mzML	plant	plant_angiospermae	102107|Prunus mume	fruit	2024.0	solid material, dried	water (100%) (deg_C_NOS)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Car50_01_500ppm_cent_pos.mzML	plant	plant_angiospermae	1045115|Silene firma	cardinal organ part	2024.0	solid material, dried	ethanol-water (1:1)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	CarE01_500ppm_cent_pos.mzML	plant	plant_angiospermae	1045115|Silene firma	cardinal organ part	2024.0	solid material, dried	ethanol (100%)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	CarW01_500ppm_cent_pos.mzML	plant	plant_angiospermae	1045115|Silene firma	cardinal organ part	2024.0	solid material, dried	water (100%) (deg_C_NOS)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Car50_03_500ppm_cent_neg.mzML	plant	plant_angiospermae	1045115|Silene firma	cardinal organ part	2024.0	solid material, dried	ethanol-water (1:1)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Car50_02_500ppm_cent_neg.mzML	plant	plant_angiospermae	1045115|Silene firma	cardinal organ part	2024.0	solid material, dried	ethanol (100%)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Car50_01_500ppm_cent_neg.mzML	plant	plant_angiospermae	1045115|Silene firma	cardinal organ part	2024.0	solid material, dried	water (100%) (deg_C_NOS)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Zin50_10_500ppm_cent_pos.mzML	plant	plant_angiospermae	105181|Elettaria cardamomum	seed	2024.0	solid material, dried	ethanol-water (1:1)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	ZinE10_500ppm_cent_pos.mzML	plant	plant_angiospermae	105181|Elettaria cardamomum	seed	2024.0	solid material, dried	ethanol (100%)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	ZinW10_500ppm_cent_pos.mzML	plant	plant_angiospermae	105181|Elettaria cardamomum	seed	2024.0	solid material, dried	water (100%) (deg_C_NOS)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	Zin50_09_500ppm_cent_neg.mzML	plant	plant_angiospermae	105181|Elettaria cardamomum	seed	2024.0	solid material, dried	ethanol-water (1:1)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	ZinW04_500ppm_cent_neg.mzML	plant	plant_angiospermae	105181|Elettaria cardamomum	seed	2024.0	solid material, dried	ethanol (100%)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
MSV000097043	ZinE06_500ppm_cent_neg.mzML	plant	plant_angiospermae	105181|Elettaria cardamomum	seed	2024.0	solid material, dried	water (100%) (deg_C_NOS)	sulfamethazine;sulfadimethoxine	Orbitrap Exploris 120|MS:1003095	electrospray ionization (positive)	reverse phase (C18)
