MassiveID	filename	IonizationSourceAndPolarity	Metabolite sample code	NCBITaxonomy	ENVOEnvironmentMaterial	UBERONBodyPartName	BiologicalSex	organism	SampleType	SampleTypeSub1	MassSpectrometer	ChromatographyAndPhase	SampleExtractionMethod
MSV000097146	1_neg.mzML	electrospray ionization (negative)	1	9821|Suidae	fossil material	mandible		Kolpochoerus majus	animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	1_pos.mzML	electrospray ionization (positive)	1	9821|Suidae	fossil material	mandible		Kolpochoerus majus	animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	117_neg.mzML	electrospray ionization (negative)	117	410297|Gerbilliscus	fossil material				animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	117_pos.mzML	electrospray ionization (positive)	117	410297|Gerbilliscus	fossil material				animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	118_neg.mzML	electrospray ionization (negative)	118	337687|Muroidea		mandible			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	118_pos.mzML	electrospray ionization (positive)	118	337687|Muroidea		mandible			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	15_neg.mzML	electrospray ionization (negative)	15	9780|Elephantidae	fossil material	molar tooth		Elephas recki shungurensis	animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	15_pos.mzML	electrospray ionization (positive)	15	9780|Elephantidae	fossil material	molar tooth		Elephas recki shungurensis	animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	20_neg.mzML	electrospray ionization (negative)	20	9785|Loxodonta africana		bone tissue			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	20_pos.mzML	electrospray ionization (positive)	20	9785|Loxodonta africana		bone tissue			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2092_neg.mzML	electrospray ionization (negative)	2092	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2092_pos.mzML	electrospray ionization (positive)	2092	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2093_neg.mzML	electrospray ionization (negative)	2093	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2093_pos.mzML	electrospray ionization (positive)	2093	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2095_neg.mzML	electrospray ionization (negative)	2095	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2095_pos.mzML	electrospray ionization (positive)	2095	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
