MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	filename_old	ATTRIBUTE_SampleCollectionMethod	ATTRIBUTE_practice_experiment	ATTRIBUTE_lifestage	ATTRIBUTE_treatment	ATTRIBUTE_biologicalreplicate	ATTRIBUTE_technicalreplicate
MSV000097754	Al_E_F1A_L_BR1_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F1A_L_BR1_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F1A_L_BR1_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F1A_L_BioRep1_TechRepA	Pipette	not applicable	Egg	Light	Female 1	A
MSV000097754	Al_E_F1B_L_BR1_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F1B_L_BR1_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F1B_L_BR1_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F1B_L_BioRep1_TechRepB	Pipette	not applicable	Egg	Light	Female 1	B
MSV000097754	Al_E_F1C_L_BR1_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F1C_L_BR1_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F1C_L_BR1_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F1C_L_BioRep1_TechRepC	Pipette	not applicable	Egg	Light	Female 1	C
MSV000097754	Al_E_F2A_L_BR2_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F2A_L_BR2_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F2A_L_BR2_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F2A_L_BioRep2_TechRepA	Pipette	not applicable	Egg	Light	Female 2	A
MSV000097754	Al_E_F2B_L_BR2_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F2B_L_BR2_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F2B_L_BR2_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F2B_L_BioRep2_TechRepB	Pipette	not applicable	Egg	Light	Female 2	B
MSV000097754	Al_E_F2C_L_BR2_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F2C_L_BR2_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F2C_L_BR2_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F2C_L_BioRep2_TechRepC	Pipette	not applicable	Egg	Light	Female 2	C
MSV000097754	Al_E_F3A_L_BR3_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F3A_L_BR3_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F3A_L_BR3_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F3A_L_BioRep3_TechRepA	Pipette	not applicable	Egg	Light	Female 3	A
MSV000097754	Al_E_F3B_L_BR3_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F3B_L_BR3_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F3B_L_BR3_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F3B_L_BioRep3_TechRepB	Pipette	not applicable	Egg	Light	Female 3	B
MSV000097754	Al_E_F3C_L_BR3_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F3C_L_BR3_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F3C_L_BR3_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F3C_L_BioRep3_TechRepC	Pipette	not applicable	Egg	Light	Female 3	C
MSV000097754	Al_E_F4A_L_BR4_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F4A_L_BR4_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F4A_L_BR4_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F4A_L_BioRep4_TechRepA	Pipette	not applicable	Egg	Light	Female 4	A
