MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	Tube	ATTRIBUTE_Strain	ATTRIBUTE_Clutch	ATTRIBUTE_Tissue	ATTRIBUTE_SquidNumber
MSV000097783	1_APO_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	1_APO_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_1_APO_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	1	APO	7	Whole	6
MSV000097783	2_APO_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	2_APO_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_2_APO_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	2	APO	7	Whole	6
MSV000097783	3_APO_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3_APO_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_3_APO_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	3	APO	7	Whole	6
MSV000097783	4_APO_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	4_APO_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_4_APO_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	4	APO	7	Whole	6
MSV000097783	5_APO_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	5_APO_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_5_APO_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	5	APO	7	Whole	6
MSV000097783	6_APO_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	6_APO_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_6_APO_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	6	APO	7	Whole	4
MSV000097783	7_ES114_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes||312309|Aliivibrio fischeri ES114	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	7_ES114_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_7_ES114_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	7	ES114	7	Whole	4
MSV000097783	8_ES114_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes||312309|Aliivibrio fischeri ES114	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	8_ES114_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_8_ES114_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	8	ES114	7	Whole	4
MSV000097783	9_ES114_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes||312309|Aliivibrio fischeri ES114	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	9_ES114_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_9_ES114_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	9	ES114	7	Whole	4
MSV000097783	10_ES114_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes||312309|Aliivibrio fischeri ES114	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	10_ES114_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_10_ES114_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	10	ES114	7	Whole	4
MSV000097783	11_ES114_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes||312309|Aliivibrio fischeri ES114	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	11_ES114_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_11_ES114_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	11	ES114	7	Whole	3
MSV000097783	12_ES114_7_Whole.mzML	animal	tissue	6613|Euprymna scolopes||312309|Aliivibrio fischeri ES114	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	12_ES114_7_Whole	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	United States of America	not specified	not specified	not specified	not specified	MSV000097783_12_ES114_7_Whole	24h	not specified	not specified	not specified	not specified	not specified	not specified	not specified	not specified	12	ES114	7	Whole	3
