MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	ATTRIBUTE_stg	ATTRIBUTE_field	ATTRIBUTE_filtered_0.22um	ATTRIBUTE_light	ATTRIBUTE_Source	ATTRIBUTE_Polymorphism	filename_old
MSV000097813	A_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	A_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_A_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	A_032025-01_St5_filtered_#1
MSV000097813	B_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	B_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_B_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	B_032025-01_St5_filtered_#2
MSV000097813	C_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	C_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_C_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	C_032025-01_St5_filtered_#3
MSV000097813	D_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum||1008953|Oophila amblystomatis	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	D_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_D_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	D_032025-01_St5_filtered_#4
MSV000097813	E_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum||1008953|Oophila amblystomatis	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	E_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_E_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	E_032025-01_St5_filtered_#5
MSV000097813	F_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	F_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_F_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	F_032025-01_St5_filtered_#6
MSV000097813	G_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	G_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_G_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	G_032025-01_St5_filtered_#7
MSV000097813	H_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum||1008953|Oophila amblystomatis	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	H_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_H_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	H_032025-01_St5_filtered_#8
MSV000097813	I_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum||1008953|Oophila amblystomatis	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	I_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_I_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	I_032025-01_St5_filtered_#9
MSV000097813	J_032025-01.mzML	culture_multiplespecies	biofluid	43114|Ambystoma maculatum||1008953|Oophila amblystomatis	2025	solid material, frozen, lyophilized	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	J_032025-01	0	not specified	organism substance	not applicable	healthy	no disease reported	not applicable	32025_900	United States of America	Rural	39.973135 | -77.393958	1500	not specified	MSV000097813_J_032025-01	Infancy (<2 yrs)	UBERON:0000463	no disease reported	species	Vertebrates	aquatic biome	pond water			5	field	filtered	light	Capsule_Fluid	clear	J_032025-01_St5_filtered_#10
