MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	TubeID	SampleName	ATTRIBUTE_lifestage	ATTRIBUTE_SPE_cartridge	ATTRIBUTE_pH	ATTRIBUTE_SampleCollectionMethod	ATTRIBUTE_SampleExtractionMethod
MSV000097815	1_larvae_day1_PPL_pH2.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	1_larvae_day1_PPL_pH2	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			1	larvae_day1_PPL_pH2	larvae	PPL	2	liquid, solid phase extraction (PPL, pH2)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	2_larvae_day1_PPL_pH2.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	2_larvae_day1_PPL_pH2	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			2	larvae_day1_PPL_pH2	larvae	PPL	2	liquid, solid phase extraction (PPL, pH2)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	3_larvae_day1_ENVIP_pH2.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (ENVI-Carb)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	3_larvae_day1_ENVIP_pH2	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			3	larvae_day1_ENVIP_pH2	larvae	ENVI	2	liquid, solid phase extraction (ENVI-Carb, pH2)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	4_larvae_day1_HBL_pH2.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (HLB)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	4_larvae_day1_HBL_pH2	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			4	larvae_day1_HBL_pH2	larvae	HLB	2	liquid, solid phase extraction (HLB, pH2)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	5_larvae_day1_ENVIH_pH2.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (ENVI-Carb)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	5_larvae_day1_ENVIH_pH2	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			5	larvae_day1_ENVIH_pH2	larvae	ENVI	2	liquid, solid phase extraction (ENVI-Carb, pH2)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	6_larvae_day1_PPL_pH8.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	6_larvae_day1_PPL_pH8	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			6	larvae_day1_PPL_pH8	larvae	PPL	8	liquid, solid phase extraction (PPL, pH8)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	7_larvae_day1_PPL_pH8.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	7_larvae_day1_PPL_pH8	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			7	larvae_day1_PPL_pH8	larvae	PPL	8	liquid, solid phase extraction (PPL, pH8)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	8_larvae_day1_ENVIP_pH8.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (ENVI-Carb)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	8_larvae_day1_ENVIP_pH8	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			8	larvae_day1_ENVIP_pH8	larvae	ENVI	8	liquid, solid phase extraction (ENVI-Carb, pH8)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	9_larvae_day1_HBL_pH8.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (HLB)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	9_larvae_day1_HBL_pH8	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			9	larvae_day1_HBL_pH8	larvae	HLB	8	liquid, solid phase extraction (HLB, pH8)	methanol-water (1:3, 1:1, 3:1), methanol 100%
MSV000097815	10_larvae_day1_ENVIH_pH8.mzML	animal	marine_coral	45264|Acropora millepora	2025	liquid, solid phase extraction (ENVI-Carb)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	10_larvae_day1_ENVIH_pH8	0.00273973	not applicable	exudate	not applicable	healthy	not applicable	not applicable	11/23/2024	Australia	not applicable	-19.26639000|146.80569001	-0.5								ENVO:01000050	ENVO:00002150			10	larvae_day1_ENVIH_pH8	larvae	ENVI	8	liquid, solid phase extraction (ENVI-Carb, pH8)	methanol-water (1:3, 1:1, 3:1), methanol 100%
