MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	SampleCollectionDateandTime	Country	LatitudeandLongitude	ATTRIBUTE_tank	ATTRIBUTE_culture	ATTRIBUTE_treat	ATTRIBUTE_pop	ATTRIBUTE_volumeSampled	ATTRIBUTE_batch	ATTRIBUTE_extrNo	ATTRIBUTE_DavisOrganizationNotes	ATTRIBUTE_SPENotes	ATTRIBUTE_DateRun	ATTRIBUTE_SPEStart	ATTRIBUTE_SPEFinish	ATTRIBUTE_dryStart	ATTRIBUTE_dryFinish	ATTRIBUTE_shippingBoxNo
MSV000097940	T6-PP-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-PP-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	poly	h	PP	80.0	Batch_1	1.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T6-BL-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-BL-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	mono	h	BL	65.0	Batch_1	2.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T1-OG-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-OG-R3	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	OG	65.0	Batch_1	3.0	EXTRA TUBE REMAINING 	VKR spilled ~1mL of sample	1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T5-PP-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T5-PP-R3	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5	poly	c	PP	50.0	Batch_1	4.0			1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T6-BL-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-BL-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	mono	h	BL	90.0	Batch_1	5.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T6-MP-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-MP-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	mono	h	MP	100.0	Batch_1	6.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T1-MP-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-MP-R3	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	MP	100.0	Batch_1	7.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T3-BL-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-BL-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	mono	c	BL	100.0	Batch_1	8.0	EXTRA TUBE REMAINING X2		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T6-BL-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-BL-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	mono	h	BL	65.0	Batch_1	9.0	USING EXTRA TUBE 	using new, unsampled from sample tube	1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	NA-NA-QC_blank_1.mzML	blank_extraction	blank_extraction		2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	NA-NA-QC_blank_1		United States of America		blank_extraction	blank_extraction	blank_extraction	blank_extraction		Batch_1	10.0			1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T2-OG-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-OG-R5	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	mono	h	OG	100.0	Batch_1	11.0		VKR spilled ~1mL of sample	1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T6-PP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-PP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	poly	h	PP	65.0	Batch_1	12.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T5-BL-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T5-BL-R5	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5	mono	c	BL	100.0	Batch_1	13.0	EXTRA REMIOANING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
