MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	UBERONBodyPartName	BiologicalSex	AgeInYears	DOIDCommonName	HealthStatus
MSV000097964	sample_208.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_191.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_184.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_194.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	pool_qc_STm_cecum_diet_7.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_196.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	pool_qc_STm_cecum_diet_6.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	ID_01.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_185.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_199.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_176.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_172.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_209.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_177.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_171.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	pool_qc_STm_cecum_diet_5.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_216.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_190.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	ID_03.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_197.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_210.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	Blank_5.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000097964	sample_200.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	Blank_1.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000097964	ID_04.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_180.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_182.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	Blank_2.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000097964	Blank_6.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000097964	Blank_3.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000097964	sample_170.mzML	animal	biofluid	10090|Mus musculus	cecum				
MSV000097964	sample_201.mzML	animal	biofluid	10090|Mus musculus	cecum				
