MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	ATTRIBUTE_NCBITaxonomy
MSV000098069	1A.mzML	animal	tissue	262591|Porites rus	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	1A					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Porites	Invertebrates	marine coral reef biome				262591|Porites rus
MSV000098069	1B.mzML	animal	tissue	262591|Porites rus	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	1B					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Porites	Invertebrates	marine coral reef biome				262591|Porites rus
MSV000098069	1C.mzML	animal	tissue	262591|Porites rus	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	1C					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Porites	Invertebrates	marine coral reef biome				262591|Porites rus
MSV000098069	2A.mzML	animal	tissue	6127|Acropora	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	2A					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Acropora	Invertebrates	marine coral reef biome				6127|Acropora
MSV000098069	2B.mzML	animal	tissue	6127|Acropora	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	2B					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Acropora	Invertebrates	marine coral reef biome				6127|Acropora
MSV000098069	2C.mzML	animal	tissue	6127|Acropora	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	2C					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Acropora	Invertebrates	marine coral reef biome				6127|Acropora
MSV000098069	3A.mzML	animal	tissue	262591|Porites rus	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	3A					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Porites	Invertebrates	marine coral reef biome				262591|Porites rus
MSV000098069	3B.mzML	animal	tissue	262591|Porites rus	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	3B					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Porites	Invertebrates	marine coral reef biome				262591|Porites rus
MSV000098069	3C.mzML	animal	tissue	262591|Porites rus	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	3C					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Porites	Invertebrates	marine coral reef biome				262591|Porites rus
MSV000098069	4A.mzML	animal	tissue	6127|Acropora	2025	solid material, fresh	methanol-water (7:3)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	4A					healthy			2023-06-15T07:30:00Z	Madagascar		-23.06524|43.51827							Acropora	Invertebrates	marine coral reef biome				6127|Acropora
