MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_incubationtime	ATTRIBUTE_NCBITaxonomy	ATTRIBUTE_chem	ATTRIBUTE_concentration	Unnamed: 34
MSV000098191	Plate5_HT29_A1_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DMSO	100_uM	
MSV000098191	Plate5_HT29_B1_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DMSO	100_uM	
MSV000098191	Plate5_HT29_C1_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DMSO	100_uM	
MSV000098191	Plate5_HT29_D1_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DMSO	100_uM	
MSV000098191	Plate5_HepG2_E1_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DMSO	100_uM	
MSV000098191	Plate5_HepG2_F1_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DMSO	100_uM	
MSV000098191	Plate5_HepG2_G1_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DMSO	100_uM	
MSV000098191	Plate5_HepG2_H1_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DMSO	100_uM	
MSV000098191	Plate5_HT29_A2_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	2AP + DCA	100_uM	
MSV000098191	Plate5_HT29_B2_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	2AP + DCA	100_uM	
MSV000098191	Plate5_HT29_C2_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	2AP + DCA	100_uM	
MSV000098191	Plate5_HT29_D2_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	2AP + DCA	100_uM	
MSV000098191	Plate5_HepG2_E2_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	2AP + DCA	100_uM	
MSV000098191	Plate5_HepG2_F2_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	2AP + DCA	100_uM	
MSV000098191	Plate5_HepG2_G2_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	2AP + DCA	100_uM	
MSV000098191	Plate5_HepG2_H2_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	2AP + DCA	100_uM	
MSV000098191	Plate5_HT29_A3_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DCA-2AP	100_uM	
MSV000098191	Plate5_HT29_B3_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DCA-2AP	100_uM	
MSV000098191	Plate5_HT29_C3_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DCA-2AP	100_uM	
MSV000098191	Plate5_HT29_D3_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HT29	not applicable	Colorectal_cancer_cells	HT29	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DCA-2AP	100_uM	
MSV000098191	Plate5_HepG2_E3_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DCA-2AP	100_uM	
MSV000098191	Plate5_HepG2_F3_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DCA-2AP	100_uM	
MSV000098191	Plate5_HepG2_G3_48hr	culture_mamalian	culture_CRC_cells	9606|Homo sapiens	2024	liquid	methanol-water (7:3)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	HepG2	not applicable	Colorectal_cancer_cells	HepG2	not applicable	########	United States of America	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	48hr	9606|Homo sapiens	DCA-2AP	100_uM	
