MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	ATTRIBUTE_SampleTypeSub1	ATTRIBUTE_PlantStage	PlantID	ATTRIBUTE_Temperature	ATTRIBUTE_Tank	ENVOEnvironmentBiome.1	ENVOEnvironmentMaterial.1	ENVOEnvironmentBiomeIndex.1	ENVOEnvironmentMaterialIndex.1
MSV000098257	extr001_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3041	3c	5	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr002_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	1084	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr003_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	985	Amb	4	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr004_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3060	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr005_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3063	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr006_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3056	3c	5	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr007_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3061	Amb	4	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr008_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3004	3c	2	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr009_003.mzML	reference material	water_artificialseawater	not applicable	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		not applicable													water_artificialseawater	not applicable	not applicable	3c	2	not applicable	not applicable	not applicable	
MSV000098257	extr010_001.mzML	reference material	water_artificialseawater	not applicable	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		not applicable													water_artificialseawater	not applicable	not applicable	Amb	4	not applicable	not applicable	not applicable	
MSV000098257	extr011_000.mzML	blank_extraction	blank_extraction	not applicable	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		not applicable													blank_extraction	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	
MSV000098257	extr012_526.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	89	6c	6	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr013_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3012	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr014_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3020	3c	2	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr015_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3089	3c	5	seagrass bed	root exudates	ENVO:01000059	
