MassiveID	filename	SampleType	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	AutonomousCommunity	Province	Municipality	Population_hab	PopulationDensity_hab/km2
MSV000099012	01_Blank_01.mzML	blank_extraction	blank_extraction	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	02_QC_DeepScan_01.mzML	pool_QC	pool_QC	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	03_QC_DeepScan_02.mzML	pool_QC	pool_QC	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	04_QC_DeepScan_03.mzML	pool_QC	pool_QC	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	05_Blank_02.mzML	blank_extraction	blank_extraction	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	06_QC_01.mzML	pool_QC	pool_QC	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	07_CVAL_SU_16.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	39.502778|-0.440556	70	urban biome	dust	Valencian Community	Valencia	Paterna	71880	1912.1
MSV000099012	08_LR_R_13.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Rural	42.303333|-1.964722	358	urban biome	dust	La Rioja	La Rioja	Calahorra	25661	253.7
MSV000099012	09_LR_U_04.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	42.46644945|-2.4456553	384	urban biome	dust	La Rioja	La Rioja	Logrono	150020	1897.9
MSV000099012	10_CVAL_U_17.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	39.47534441|-0.37565717	16	urban biome	dust	Valencian Community	Valencia	Valencia	792492	5850.8
MSV000099012	11_CVAL_U_19.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	39.47534441|-0.37565717	16	urban biome	dust	Valencian Community	Valencia	Valencia	792492	5850.8
MSV000099012	12_Blank_03.mzML	blank_extraction	blank_extraction	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	13_QC_02.mzML	pool_QC	pool_QC	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	14_LR_R_06.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Rural	42.188611|-2.295278	390	urban biome	dust	La Rioja	La Rioja	Munilla	109	1.9
MSV000099012	15_LR_SU_02.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Rural	42.426111|-2.461389	438	urban biome	dust	La Rioja	La Rioja	Lardero	11094	484.8
MSV000099012	16_LR_R_01.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Rural	42.429167|-2.561111	512	urban biome	dust	La Rioja	La Rioja	Navarrete	3016	103.5
MSV000099012	17_IB_R_11.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Rural	39.696667|2.699722	240	urban biome	dust	Balearic Islands	Balearic Islands	Bunyola	7121	78.4
MSV000099012	18_CAT_U_07.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	41.38424664|2.17634927	13	urban biome	dust	Catalonia	Barcelona	Barcelona	1636193	15992.2
MSV000099012	19_Blank_04.mzML	blank_extraction	blank_extraction	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	20_QC_03.mzML	pool_QC	pool_QC	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	21_GAL_SU_09.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	42.595058|-8.743065	0	urban biome	dust	Galicia	Pontevedra	Vilagarcia de Arousa	37667	795.1
MSV000099012	22_CVAL_SU_15.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	39.502778|-0.440556	70	urban biome	dust	Valencian Community	Valencia	Paterna	71880	1912.1
MSV000099012	23_CVAL_U_18.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	39.47534441|-0.37565717	16	urban biome	dust	Valencian Community	Valencia	Valencia	792492	5850.8
MSV000099012	24_IB_SU_10.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	39.716667|2.916667	120	urban biome	dust	Balearic Islands	Balearic Islands	Inca	34093	535.7
MSV000099012	25_LR_R_12.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Rural	42.415833|-2.734167	491	urban biome	dust	La Rioja	La Rioja	Najera	8069	216
MSV000099012	26_Blank_05.mzML	blank_extraction	blank_extraction	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	27_QC_04.mzML	pool_QC	pool_QC	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	28_IB_SU_03.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Rural	39.734452|3.055444	83	urban biome	dust	Balearic Islands	Balearic Islands	Muro	7667	116.5
MSV000099012	29_IB_R_05.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Rural	39.696667|2.699722	240	urban biome	dust	Balearic Islands	Balearic Islands	Bunyola	7121	78.4
MSV000099012	30_CVAL_SU_14.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	39.502778|-0.440556	70	urban biome	dust	Valencian Community	Valencia	Paterna	71880	1912.1
MSV000099012	31_GAL_SU_08.mzML	environmental	house	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	2023	Spain	Urban	42.595058|-8.743065	0	urban biome	dust	Galicia	Pontevedra	Vilagarci­a de Arousa	37667	795.1
MSV000099012	32_Blank_06.mzML	blank_extraction	blank_extraction	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000099012	33_QC_05.mzML	pool_QC	pool_QC	2024	solid material, fresh	methanol (100%)	carbendazim-d4;clothianidin-d3;dimethoate-(O,O-dimethyl-d6);methamidophos (dimethyl)-d6	Orbitrap ID-X|MS:1003112	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	urban biome	dust	not applicable	not applicable	not applicable	not applicable	not applicable
