MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	AgeInYears	BiologicalSex	UBERONBodyPartName	HealthStatus	Country	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	IonizationSourceAndPolarity	ChromatographyAndPhase
MSV000099025	7-25-2024_T6_C18_ESI-_CV-F1_P1-F-1_1_1404_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-25-2024_T6_C18_ESI-_CV-M1_P1-E-4_1_1405_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-25-2024_T6_C18_ESI-_GF-M1_P1-B-7_1_1402_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-25-2024_T6_C18_ESI-_GF-M4_P1-C-1_1_1410_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-25-2024_T6_C18_ESI-_oMM-F1_P1-D-7_1_1403_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-25-2024_T6_C18_ESI-_oMM-F6_P1-E-3_1_1409_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-25-2024_T6_C18_ESI-_oMM-M1_P1-D-1_1_1407_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-25-2024_T6_C18_ESI-_oMM-M6_P1-D-6_1_1406_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-F2_P1-F-2_1_1424_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-F3_P1-F-3_1_1412_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-F4_P1-F-4_1_1441_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-F5_P1-F-5_1_1420_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-F6_P1-F-6_1_1432_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-M2_P1-E-5_1_1438_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-M3_P1-E-6_1_1427_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-M4_P1-E-7_1_1416_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-M5_P1-E-8_1_1419_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_CV-M6_P1-E-9_1_1439_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-F1_P1-C-4_1_1413_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-F2_P1-C-5_1_1435_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-F3_P1-C-6_1_1414_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-F4_P1-C-7_1_1425_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-F5_P1-C-8_1_1426_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-F6_P1-C-9_1_1423_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-M2_P1-B-8_1_1442_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-M3_P1-B-9_1_1434_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-M5_P1-C-2_1_1431_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_GF-M6_P1-C-3_1_1433_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_oMM-F2_P1-D-8_1_1417_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_oMM-F3_P1-D-9_1_1440_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_oMM-F4_P1-E-1_1_1411_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_oMM-F5_P1-E-2_1_1437_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_oMM-M2_P1-D-2_1_1421_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_oMM-M3_P1-D-3_1_1418_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_oMM-M4_P1-D-4_1_1428_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-26-2024_T6_C18_ESI-_oMM-M5_P1-D-5_1_1430_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (negative)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-F1_P1-F-1_1_1476_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-F2_P1-F-2_1_1496_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-F3_P1-F-3_1_1484_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-F4_P1-F-4_1_1513_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-F5_P1-F-5_1_1492_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-F6_P1-F-6_1_1504_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-M1_P1-E-4_1_1477_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-M2_P1-E-5_1_1510_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-M3_P1-E-6_1_1499_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-M4_P1-E-7_1_1488_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-M5_P1-E-8_1_1491_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_CV-M6_P1-E-9_1_1511_TS.mzML	animal	biofluid	10090|Mus musculus		male	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
MSV000099025	7-27-2024_T6_C18_ESI+_GF-F1_P1-C-4_1_1485_TS.mzML	animal	biofluid	10090|Mus musculus		female	feces	healthy	Czech Republic	2024	feces	methanol-water (1:1)	electrospray ionization (positive)	reverse phase (C18)
