MassiveID	filename	ATTRIBUTE_Strain	ATTRIBUTE_YnpID	ATTRIBUTE_Date	ATTRIBUTE_Method	ATTRIBUTE_Mode	ATTRIBUTE_ExperimentID	ATTRIBUTE_Media	ATTRIBUTE_CultureFormat	ATTRIBUTE_IncubationDays	NCBITaxonomy	IonizationSourceAndPolarity	MassSpectrometer	SampleCollectionDateandTime	NCBIGenome	SampleType	SampleTypeSub1	SampleExtractionMethod	ChromatographyAndPhase
MSV000099077	Lecanicillium_fungicola_MUCL_9781_YNP41_20230509_Bas-C18_POS_UMETAB332_643_E7.mzXML	Lecanicillium_fungicola_MUCL_9781	YNP41	20230509	Bas-C18	POS	643	CMA	plate	14	93591|Zarea fungicola	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527305.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_fungicola_MUCL_9781_YNP41_20230509_Bas-C18_POS_UMETAB332_644_E8.mzXML	Lecanicillium_fungicola_MUCL_9781	YNP41	20230509	Bas-C18	POS	644	PDA	plate	14	93591|Zarea fungicola	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527305.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_fungicola_MUCL_9781_YNP41_20230509_Bas-C18_POS_UMETAB332_645_E9.mzXML	Lecanicillium_fungicola_MUCL_9781	YNP41	20230509	Bas-C18	POS	645	MEA	plate	14	93591|Zarea fungicola	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527305.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_fungicola_MUCL_9781_YNP41_20230512_Ac-C18_POS_UMETAB333_643A_E7.mzXML	Lecanicillium_fungicola_MUCL_9781	YNP41	20230512	Ac-C18	POS	643	CMA	plate	14	93591|Zarea fungicola	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527305.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_fungicola_MUCL_9781_YNP41_20230512_Ac-C18_POS_UMETAB333_644A_E8.mzXML	Lecanicillium_fungicola_MUCL_9781	YNP41	20230512	Ac-C18	POS	644	PDA	plate	14	93591|Zarea fungicola	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527305.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_fungicola_MUCL_9781_YNP41_20230512_Ac-C18_POS_UMETAB333_645A_E9.mzXML	Lecanicillium_fungicola_MUCL_9781	YNP41	20230512	Ac-C18	POS	645	MEA	plate	14	93591|Zarea fungicola	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527305.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_coprophilum_MUCL_594_YNP40_20230509_Bas-C18_POS_UMETAB332_629_D5.mzXML	Lecanicillium_coprophilum_MUCL_594	YNP40	20230509	Bas-C18	POS	629	MEA	plate	14	2496607|Lecanicillium coprophilum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527325.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_coprophilum_MUCL_594_YNP40_20230509_Bas-C18_POS_UMETAB332_630_D6.mzXML	Lecanicillium_coprophilum_MUCL_594	YNP40	20230509	Bas-C18	POS	630	PDA	plate	14	2496607|Lecanicillium coprophilum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527325.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_coprophilum_MUCL_594_YNP40_20230509_Bas-C18_POS_UMETAB332_631_D7.mzXML	Lecanicillium_coprophilum_MUCL_594	YNP40	20230509	Bas-C18	POS	631	CMA	plate	14	2496607|Lecanicillium coprophilum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527325.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_coprophilum_MUCL_594_YNP40_20230512_Ac-C18_POS_UMETAB333_629A_D5.mzXML	Lecanicillium_coprophilum_MUCL_594	YNP40	20230512	Ac-C18	POS	629	MEA	plate	14	2496607|Lecanicillium coprophilum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527325.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_coprophilum_MUCL_594_YNP40_20230512_Ac-C18_POS_UMETAB333_630A_D6.mzXML	Lecanicillium_coprophilum_MUCL_594	YNP40	20230512	Ac-C18	POS	630	PDA	plate	14	2496607|Lecanicillium coprophilum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527325.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Lecanicillium_coprophilum_MUCL_594_YNP40_20230512_Ac-C18_POS_UMETAB333_631A_D7.mzXML	Lecanicillium_coprophilum_MUCL_594	YNP40	20230512	Ac-C18	POS	631	CMA	plate	14	2496607|Lecanicillium coprophilum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527325.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221013_Cyclosporines_POS_120_Plate1_34.mzXML	Beauveria_bassiana_MB199430	YNP3	20221013	Cyclosporin	POS	120	PDA	plate	22	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	10/13/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
