MassiveID	filename	ATTRIBUTE_Strain	ATTRIBUTE_YnpID	ATTRIBUTE_Date	ATTRIBUTE_Method	ATTRIBUTE_Mode	ATTRIBUTE_ExperimentID	ATTRIBUTE_Genus	ATTRIBUTE_Media	ATTRIBUTE_CultureFormat	ATTRIBUTE_IncubationDays	NCBIGenome	NCBITaxonomy	SampleType	SampleTypeSub1	MassSpectrometer	IonizationSourceAndPolarity	SampleCollectionDateandTime
MSV000099370	Cordyceps_militaris_DSM_1153_YNP15_20220803_UMETAB_C18_NEG_Sample_48.mzXML	Cordyceps_militaris_DSM_1153	YNP15	20220803	Cyclosporin	NEG	48	Cordyceps	PDA	plate	23	GCA_051527855.1	73501|Cordyceps militaris	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_militaris_DSM_1153_YNP15_20220803_UMETAB_C18_NEG_Sample_49.mzXML	Cordyceps_militaris_DSM_1153	YNP15	20220803	Cyclosporin	NEG	49	Cordyceps	CMA	plate	23	GCA_051527855.1	73501|Cordyceps militaris	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_militaris_DSM_1153_YNP15_20220803_UMETAB_C18_NEG_Sample_50.mzXML	Cordyceps_militaris_DSM_1153	YNP15	20220803	Cyclosporin	NEG	50	Cordyceps	MEA	plate	23	GCA_051527855.1	73501|Cordyceps militaris	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_militaris_DSM_1153_YNP15_20220803_UMETAB_C18_NEG_Sample_52.mzXML	Cordyceps_militaris_DSM_1153	YNP15	20220803	Cyclosporin	NEG	52	Cordyceps	SSM myc	shake flask	16	GCA_051527855.1	73501|Cordyceps militaris	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_militaris_DSM_1153_YNP15_20220803_UMETAB_C18_NEG_Sample_53.mzXML	Cordyceps_militaris_DSM_1153	YNP15	20220803	Cyclosporin	NEG	53	Cordyceps	SSM	shake flask	16	GCA_051527855.1	73501|Cordyceps militaris	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_militaris_DSM_1153_YNP15_20220803_UMETAB_C18_NEG_Sample_54.mzXML	Cordyceps_militaris_DSM_1153	YNP15	20220803	Cyclosporin	NEG	54	Cordyceps	SSM static	shake flask	16	GCA_051527855.1	73501|Cordyceps militaris	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_ophioglossoides_DSM_1208_YNP73_20220803_UMETAB_C18_NEG_Sample_55.mzXML	Cordyceps_ophioglossoides_DSM_1208	YNP73	20220803	Cyclosporin	NEG	55	Cordyceps	PDA	plate	23	GCA_051528855.1	71617|Tolypocladium ophioglossoides	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_ophioglossoides_DSM_1208_YNP73_20220803_UMETAB_C18_NEG_Sample_56.mzXML	Cordyceps_ophioglossoides_DSM_1208	YNP73	20220803	Cyclosporin	NEG	56	Cordyceps	CMA	plate	23	GCA_051528855.1	71617|Tolypocladium ophioglossoides	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_ophioglossoides_DSM_1208_YNP73_20220803_UMETAB_C18_NEG_Sample_57.mzXML	Cordyceps_ophioglossoides_DSM_1208	YNP73	20220803	Cyclosporin	NEG	57	Cordyceps	MEA	plate	23	GCA_051528855.1	71617|Tolypocladium ophioglossoides	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_ophioglossoides_DSM_1208_YNP73_20220803_UMETAB_C18_NEG_Sample_58.mzXML	Cordyceps_ophioglossoides_DSM_1208	YNP73	20220803	Cyclosporin	NEG	58	Cordyceps	SSM myc	shake flask	16	GCA_051528855.1	71617|Tolypocladium ophioglossoides	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_ophioglossoides_DSM_1208_YNP73_20220803_UMETAB_C18_NEG_Sample_59.mzXML	Cordyceps_ophioglossoides_DSM_1208	YNP73	20220803	Cyclosporin	NEG	59	Cordyceps	SSM	shake flask	16	GCA_051528855.1	71617|Tolypocladium ophioglossoides	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
