MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters
MSV000099788	Abrus_precatorius_seeds_50ACN_highmz.mzML	plant	plant_NOS	3816|Abrus precatorius	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Owa African Market (NY, USA), https://www.owaafrikanmarket.com/traditional-african-herbs/p/oju-ologbo	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Abrus_precatorius_seeds_50ACN_lowmz.mzML	plant	plant_NOS	3816|Abrus precatorius	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Owa African Market (NY, USA), https://www.owaafrikanmarket.com/traditional-african-herbs/p/oju-ologbo	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Acacia_crassicarpa_seeds_50ACN_highmz.mzML	plant	plant_NOS	499986|Acacia crassicarpa	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Seed Plant World (USA), https://seedsplantworld.com/products/5-acacia-crassicarpa-hardy-acacia-seeds-for-planting?srsltid=AfmBOorxGMTC4b3C6JiiaAMi3kSP1M49f2bcNfaAzs42jsHViJ2QSjVV	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Acacia_crassicarpa_seeds_50ACN_lowmz.mzML	plant	plant_NOS	499986|Acacia crassicarpa	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Seed Plant World (USA), https://seedsplantworld.com/products/5-acacia-crassicarpa-hardy-acacia-seeds-for-planting?srsltid=AfmBOorxGMTC4b3C6JiiaAMi3kSP1M49f2bcNfaAzs42jsHViJ2QSjVV	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Acer_negundo_seeds_50ACN_highmz.mzML	plant	plant_NOS	4023|Acer negundo	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | WLP 2670	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Acer_negundo_seeds_50ACN_lowmz.mzML	plant	plant_NOS	4023|Acer negundo	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | WLP 2670	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Acer_saccharum_seeds_50ACN_highmz.mzML	plant	plant_NOS	4024|Acer saccharum	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | WLP 307	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Acer_saccharum_seeds_50ACN_lowmz.mzML	plant	plant_NOS	4024|Acer saccharum	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | WLP 307	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Acorus_calamus_seeds_50ACN_highmz.mzML	plant	plant_NOS	4465|Acorus calamus	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Hirt's gardens (OH, USA), https://hirts.com/sweetflag-acorus-10-seeds-acorus-calamus-sale/?srsltid=AfmBOop0BvPCfblm21GGkjvOERdW1nzlI89qhMES7E1S71SQTBPVm8lFKlY	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Acorus_calamus_seeds_50ACN_lowmz.mzML	plant	plant_NOS	4465|Acorus calamus	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Hirt's gardens (OH, USA), https://hirts.com/sweetflag-acorus-10-seeds-acorus-calamus-sale/?srsltid=AfmBOop0BvPCfblm21GGkjvOERdW1nzlI89qhMES7E1S71SQTBPVm8lFKlY	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
