MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000100352	Lip1_01_RC1_8434.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 9:30	Germany	Urban	51.6602995|7.6800767									large river biome	river water		
MSV000100352	Lip1_01_RC1_8451.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 9:30	Germany	Urban	51.6602995|7.6800767									large river biome	river water		
MSV000100352	Lip2_01_RC2_8435.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 10:31	Germany	Urban	51.6430560|7.6070566									large river biome	river water		
MSV000100352	Lip2_01_RC2_8452.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 10:31	Germany	Urban	51.6430560|7.6070566									large river biome	river water		
MSV000100352	Lip3_01_RC3_8436.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 21:02	Germany	Urban	51.7204978|7.1456197									large river biome	river water		
MSV000100352	Lip3_01_RC3_8453.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 21:02	Germany	Urban	51.7204978|7.1456197									large river biome	river water		
MSV000100352	Lip4_01_RC4_8437.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 13:33	Germany	Urban	51.6513235|6.6443812									large river biome	river water		
MSV000100352	Lip4_01_RC4_8454.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 13:33	Germany	Urban	51.6513235|6.6443812									large river biome	river water		
MSV000100352	Emr1_01_RB1_8432.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 19:36	Germany	Urban	51.5599421|7.2052493									large river biome	river water		
MSV000100352	Emr1_01_RB1_8449.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 19:36	Germany	Urban	51.5599421|7.2052493									large river biome	river water		
MSV000100352	Emr2_01_RB2_8433.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 15:35	Germany	Urban	51.5603428|6.7076418									large river biome	river water		
MSV000100352	Emr2_01_RB2_8450.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 15:35	Germany	Urban	51.5603428|6.7076418									large river biome	river water		
MSV000100352	Ruh1_01_RE1_8442.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 18:36	Germany	Urban	51.3814382|6.9027112									large river biome	river water		
MSV000100352	Ruh1_01_RE1_8459.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 18:36	Germany	Urban	51.3814382|6.9027112									large river biome	river water		
MSV000100352	Ruh2_01_RE2_8443.d	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	sodium formate	timsTOF fleX|MS:1003124	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 17:42	Germany	Urban	51.4455213|6.7298569									large river biome	river water		
