MassiveID	filename	SampleType	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	Unnamed: 9	ENVOEnvironmentMaterial	ENVOEnvironmentBiome	LatitudeandLongitude	DepthorAltitudeMeters
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_CondQC_1.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_CondQC_2.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_CondQC_3.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_CondQC_4.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_ExtrBlank_1.mzML	blank_extraction	blank_extraction	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_ExtrBlank_2.mzML	blank_extraction	blank_extraction	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_IS.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_12.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	37.83702|-31.52013	1000
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_147.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	37.8439|-31.51903	825
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_15.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine hydrothermal vent biome	37.83702|-31.52013	800
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_150.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	37.8439|-31.51903	825
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_18.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine hydrothermal vent biome	37.83702|-31.52013	500
