MassiveID	filename	SampleType	LatitudeandLongitude	DepthorAltitudeMeters	NCBITaxonomy	YearOfAnalysis	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SampleCollectionDateandTime	Country	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000101570	Samp_March2026_sph/SW1.mzML	plant	46.813083|7.993917	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 10:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/SW2.mzML	plant	46.813485|7.992960568	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 10:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/JM_1.mzML	plant	46.949389|8.081417	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 11:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/JM_2.mzML	plant	46.949354|8.081058	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 11:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/TM_1.mzML	plant	46.934660|7.962184	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 12:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/TM_2.mzML	plant	46.934708|7.962569	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 12:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/TM_3.mzML	plant	46.934727|7.962718	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 12:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/TM_4.mzML	plant	46.934577|7.962458	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 12:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/FM_1.mzML	plant	46.969383|8.118041	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 14:00	Switzerland	subalpine biome	peat soil								
MSV000101570	Samp_March2026_sph/FM_2.mzML	plant	46.969837|8.116988	-0.05	13804|Sphagnum	2026	ethyl acetate (100%)	caffeine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	3/23/2026 14:00	Switzerland	subalpine biome	peat soil								
