MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus
MSV000081477	P1_Blank_No_Inj_01_RA1_01_531.mzML	blank_analysis	not applicable	impact|MS:1002077	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable
MSV000081477	P1_Blank_No_Inj_02_RA1_01_545.mzML	blank_analysis	not applicable	impact|MS:1002077	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable
MSV000081477	P1_Std_Mix_01_RA2_01_501.mzML	blank_QC	not applicable	impact|MS:1002077	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable
MSV000081477	P1_Std_Mix_01_RA2_01_529.mzML	blank_QC	not applicable	impact|MS:1002077	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable
MSV000081477	P1_Std_Mix_01_RA2_01_530.mzML	blank_QC	not applicable	impact|MS:1002077	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable
MSV000081477	Solvent_Blank_01_BA1_01_532.mzML	blank_extraction	not applicable	impact|MS:1002077	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable
MSV000081477	Solvent_Blank_02_BB1_01_546.mzML	blank_extraction	not applicable	impact|MS:1002077	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable
MSV000081477	C10_BB3_01_641.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C11_BC3_01_655.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C12_BD3_01_669.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C13_BE3_01_684.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C14_BF3_01_698.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C15_BG3_01_712.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C16_BH3_01_726.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C17_BA4_01_627.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C18_BB4_01_642.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C19_BC4_01_656.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C1_BA2_01_623.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C1_GA2_01_624.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C20_BD4_01_670.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C21_BE4_01_685.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C22_BF4_01_699.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C23_BG4_01_713.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C24_BH4_01_727.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C25_BA5_01_628.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C26_BB5_01_643.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C27_BC5_01_657.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C28_BD5_01_671.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C29_BE5_01_686.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C2_BB2_01_640.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C30_BF5_01_700.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
MSV000081477	C31_BG5_01_714.mzML	tissue	10088|Mus	impact|MS:1002077	male		caecum	healthy	no disease reported	not applicable	not applicable
